Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Yr
Jack Sikma*,C,31,MIL,12,426,17.0,.565,.007,.327,8.7,28.2,18.0,7.5,1.7,1.4,9.5,18.4,,0.7,0.5,1.2,.134,,1.2,0.5,1.7,0.4,1987
Larry Smith,PF,29,GSW,10,329,16.9,.562,.000,.296,19.8,28.3,23.7,6.9,1.8,1.1,13.3,13.3,,0.6,0.5,1.0,.149,,2.0,-1.2,0.8,0.2,1987
Otis Smith,SG,23,DEN,3,19,12.9,.502,.000,1.500,4.6,23.7,12.9,25.7,0.0,5.9,28.7,27.4,,-0.1,0.0,-0.1,-0.147,,-1.2,1.1,-0.1,0.0,1987
Mike Smrek,C,24,LAL,10,33,2.1,.316,.000,.600,11.3,12.3,11.9,0.0,0.0,10.1,7.3,17.0,,-0.1,0.1,0.0,.003,,-13.3,0.7,-12.6,-0.1,1987
Steve Stipanovich,C,26,IND,4,149,13.5,.593,.026,.500,5.8,18.9,12.4,3.5,1.1,0.9,7.9,15.8,,0.2,0.3,0.4,.144,,1.1,0.7,1.8,0.1,1987
John Stockton*,PG,24,UTA,5,157,18.2,.720,.172,.448,1.5,6.7,4.1,38.1,4.8,0.4,24.1,12.3,,0.4,0.3,0.7,.200,,1.8,4.3,6.1,0.3,1987
Roy Tarpley,PF,22,DAL,4,114,15.6,.519,.000,.146,16.7,21.8,19.3,1.3,0.4,3.4,12.1,20.3,,0.1,0.1,0.2,.064,,-1.2,-1.9,-3.2,0.0,1987
Terry Teagle,SG,26,GSW,10,233,14.0,.512,.016,.306,6.0,3.7,4.9,8.8,1.7,0.3,9.0,27.4,,0.1,0.1,0.2,.038,,-0.1,-2.2,-2.4,0.0,1987
Isiah Thomas*,PG,25,DET,15,562,22.6,.523,.111,.370,4.2,9.1,6.7,35.0,3.5,0.4,10.8,29.2,,1.1,1.0,2.1,.178,,5.3,2.5,7.8,1.4,1987
Billy Thompson,SF,23,LAL,3,27,25.8,.589,.000,.182,13.8,11.3,12.4,10.4,7.1,0.0,0.0,18.1,,0.1,0.1,0.2,.299,,3.6,3.7,7.3,0.1,1987
Mychal Thompson,PF,32,LAL,18,401,11.1,.497,.000,.365,9.0,15.0,12.3,2.9,0.8,2.3,9.1,18.0,,0.1,0.6,0.7,.085,,-2.3,-1.0,-3.4,-0.1,1987
Sedale Threatt,PG,25,CHI,3,70,12.5,.533,.000,.235,3.3,5.9,4.5,36.8,0.8,0.0,9.6,13.5,,0.1,0.0,0.1,.084,,-0.2,-0.5,-0.7,0.0,1987
Wayman Tisdale,PF,22,IND,4,108,14.7,.620,.000,.742,5.7,12.5,9.1,15.4,0.5,0.0,10.8,19.9,,0.2,0.2,0.3,.152,,1.8,1.2,3.0,0.1,1987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987
Andrew Toney,SG,29,PHI,5,104,4.3,.401,.088,.059,2.3,7.2,4.9,34.5,0.9,1.1,31.4,20.2,,-0.3,0.1,-0.3,-0.120,,-4.2,-2.8,-7.0,-0.1,1987
Kelly Tripucka,SF,27,UTA,5,70,14.1,.735,.150,.200,1.7,10.0,5.8,7.3,2.9,0.0,24.3,17.4,,0.0,0.1,0.2,.105,,-2.2,1.9,-0.3,0.0,1987
Elston Turner,SF,27,CHI,3,25,16.7,.800,.000,.000,4.6,5.5,5.0,6.9,4.3,0.0,0.0,9.1,,0.1,0.0,0.1,.173,,1.3,4.8,6.1,0.1,1987
Kiki Vandeweghe,SF,28,POR,4,174,14.8,.600,.056,.366,3.2,5.3,4.2,10.2,0.3,0.3,11.8,22.0,,0.3,0.0,0.3,.092,,2.4,-2.7,-0.3,0.1,1987
Jay Vincent,SF,27,WSB,3,72,7.6,.442,.000,.300,2.7,10.9,6.5,7.1,1.4,0.0,10.5,22.0,,-0.1,0.1,0.0,-0.029,,-4.0,-1.2,-5.2,-0.1,1987
Sam Vincent,PG,23,BOS,17,141,13.4,.518,.036,.625,2.6,7.3,5.1,18.9,1.1,0.8,12.3,24.9,,0.1,0.0,0.1,.041,,-0.8,-1.9,-2.7,0.0,1987
Danny Vranes,SF,28,PHI,2,3,10.2,,,,0.0,100.0,56.8,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.196,,-9.7,7.6,-2.1,0.0,1987
Granville Waiters,C,26,CHI,2,8,4.3,,,,0.0,17.1,7.8,0.0,0.0,7.8,,0.0,,0.0,0.0,0.0,.035,,-4.2,3.4,-0.9,0.0,1987
Darrell Walker,PG,25,DEN,3,68,4.8,.351,.000,.206,3.9,11.6,7.2,9.7,1.3,0.0,9.7,22.5,,-0.2,0.0,-0.3,-0.196,,-4.6,-4.8,-9.4,-0.1,1987
Bill Walton*,C,34,BOS,12,102,9.2,.465,.000,.560,11.0,24.8,18.2,12.9,1.5,2.3,20.4,16.6,,-0.1,0.1,0.0,.009,,-4.4,1.9,-2.5,0.0,1987
Chris Washburn,C,21,GSW,5,29,4.2,.571,.000,.857,0.0,4.2,2.0,8.9,0.0,0.0,29.3,19.4,,0.0,0.0,0.0,-0.079,,-5.6,-2.0,-7.6,0.0,1987
Spud Webb,PG,23,ATL,8,122,11.3,.585,.053,.895,0.9,6.6,3.8,44.4,2.6,0.0,40.5,16.2,,-0.1,0.2,0.0,.017,,-0.1,-0.6,-0.8,0.0,1987
Bill Wennington,C,23,DAL,4,47,10.2,.528,.000,.417,9.0,13.2,11.2,10.9,0.0,3.5,17.4,14.6,,0.0,0.0,0.0,.028,,-2.0,1.0,-1.0,0.0,1987
Ennis Whatley,PG,24,WSB,2,32,-4.3,.250,.000,.000,3.0,7.0,4.9,29.2,3.0,0.0,40.0,26.1,,-0.3,0.0,-0.3,-0.397,,-10.2,-5.0,-15.2,-0.1,1987
Jerome Whitehead,C,30,GSW,10,100,2.8,.350,.000,.370,5.3,11.0,8.0,3.8,1.0,1.3,3.1,13.4,,-0.1,0.1,-0.1,-0.025,,-6.5,-2.4,-8.9,-0.2,1987
Dominique Wilkins*,SF,27,ATL,9,360,18.8,.497,.048,.352,8.6,13.7,11.2,12.9,2.3,1.5,9.7,33.2,,0.2,0.6,0.7,.100,,3.9,-0.2,3.8,0.5,1987
Herb Williams,PF,28,IND,4,134,8.5,.592,.000,.382,2.8,15.5,9.2,9.2,0.0,0.5,21.7,17.7,,-0.1,0.2,0.1,.030,,-1.6,0.3,-1.3,0.0,1987
John Williams,SF,20,WSB,3,49,16.0,.585,.071,.500,7.9,16.1,11.7,7.1,2.0,0.0,10.5,16.3,,0.1,0.1,0.1,.114,,1.8,0.7,2.4,0.1,1987
Kevin Williams,SG,25,SEA,14,255,15.8,.538,.021,.426,7.6,7.3,7.5,16.7,3.1,0.2,8.2,19.4,,0.5,0.3,0.7,.139,,0.2,1.5,1.7,0.2,1987
Kevin Willis,PF,24,ATL,9,356,13.4,.548,.000,.270,10.7,16.1,13.4,2.8,1.3,1.3,11.7,18.2,,0.2,0.5,0.7,.100,,0.3,-1.2,-1.0,0.1,1987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987
David Wingate,SG,23,PHI,5,90,10.4,.475,.054,.378,6.7,8.4,7.6,14.1,2.7,0.6,17.3,24.0,,-0.1,0.1,0.0,-0.009,,-2.8,0.1,-2.7,0.0,1987
Randy Wittman,SG,27,ATL,9,300,14.7,.576,.000,.140,1.2,5.7,3.4,18.1,0.7,0.9,8.5,20.8,,0.4,0.3,0.7,.109,,1.5,0.0,1.5,0.3,1987
James Worthy*,SF,25,LAL,18,681,21.0,.624,.007,.326,5.7,10.5,8.3,13.7,2.0,1.8,10.5,23.0,,1.7,1.0,2.7,.190,,3.9,1.1,5.0,1.2,1987
Danny Young,PG,24,SEA,14,208,14.0,.505,.308,.192,2.0,7.1,4.3,29.7,3.5,0.0,11.0,12.4,,0.3,0.2,0.5,.124,,0.6,2.4,3.0,0.3,1987
Kareem Abdul-Jabbar*,C,40,LAL,24,718,13.8,.504,.007,.234,8.4,12.9,10.8,7.7,1.1,3.1,12.1,23.6,,0.1,0.7,0.8,.054,,-1.4,-0.6,-2.0,0.0,1988
Mark Acres,C,25,BOS,17,158,6.2,.545,.000,.692,10.9,16.7,13.8,1.8,0.3,0.4,15.0,11.4,,0.1,0.2,0.2,.068,,-4.1,-1.0,-5.1,-0.1,1988
Michael Adams,PG,25,DEN,11,406,12.6,.496,.415,.315,2.2,7.7,4.8,20.8,2.1,0.3,13.4,17.3,,0.2,0.2,0.4,.053,,0.2,-0.2,0.0,0.2,1988
Mark Aguirre,SF,28,DAL,17,558,20.3,.553,.116,.293,6.8,13.1,10.0,15.9,1.3,1.0,11.0,28.3,,1.1,0.2,1.3,.115,,4.2,-0.9,3.3,0.8,1988
Danny Ainge,SG,28,BOS,17,670,8.6,.489,.315,.228,2.8,6.8,4.8,24.3,0.7,0.1,16.8,16.4,,0.0,0.5,0.5,.035,,-0.6,-1.6,-2.1,0.0,1988
Mark Alarie,PF,24,WSB,1,4,28.9,.750,1.000,.000,0.0,29.6,14.8,0.0,0.0,0.0,0.0,22.6,,0.0,0.0,0.0,.329,,18.4,2.8,21.2,0.0,1988
Steve Alford,PG,23,DAL,4,12,10.7,.375,.250,.000,9.3,9.3,9.3,25.9,0.0,0.0,11.1,31.7,,0.0,0.0,0.0,-0.108,,-1.2,-5.8,-6.9,0.0,1988
Greg Anderson,PF,23,SAS,3,95,8.0,.475,.000,.250,6.2,20.9,12.4,4.1,1.0,2.4,20.0,20.2,,-0.2,0.1,-0.1,-0.072,,-4.7,-1.8,-6.4,-0.1,1988
Richard Anderson,PF,27,POR,3,63,15.5,.621,.583,.167,7.6,16.4,11.3,2.3,1.5,1.1,7.2,17.1,,0.2,0.1,0.3,.195,,4.0,0.8,4.8,0.1,1988
Thurl Bailey,SF,26,UTA,11,449,16.6,.547,.005,.335,5.8,10.1,8.1,6.9,0.7,3.0,8.3,24.8,,0.5,0.5,1.0,.104,,1.0,0.2,1.2,0.4,1988
John Battle,SG,25,ATL,12,166,14.1,.519,.030,.373,1.4,13.3,7.2,22.6,0.6,0.0,12.4,23.6,,0.1,0.0,0.1,.039,,-0.5,-1.5,-2.0,0.0,1988
Walter Berry,SF,23,SAS,3,94,20.0,.583,.020,.300,13.5,11.2,12.6,9.6,2.4,1.2,16.3,27.7,,0.1,0.1,0.2,.079,,2.8,-1.1,1.7,0.1,1988
Larry Bird*,SF,31,BOS,17,763,20.2,.538,.095,.334,4.7,19.0,11.9,26.1,2.5,1.1,11.2,25.9,,1.2,1.2,2.4,.151,,5.2,1.5,6.7,1.7,1988
Uwe Blab,C,25,DAL,3,8,1.9,.347,.000,1.000,14.0,0.0,7.0,14.0,0.0,0.0,25.8,20.5,,0.0,0.0,0.0,-0.135,,-8.4,-4.4,-12.8,0.0,1988
Rolando Blackman,SG,28,DAL,17,672,15.5,.532,.011,.238,4.3,4.8,4.6,16.2,1.1,0.3,8.0,19.7,,1.4,0.0,1.3,.095,,1.7,-1.2,0.5,0.4,1988
Muggsy Bogues,PG,23,WSB,1,2,6.4,,,,0.0,0.0,0.0,100.0,0.0,0.0,100.0,22.6,,0.0,0.0,0.0,-0.449,,2.5,-7.3,-4.8,0.0,1988
Manute Bol,C,25,WSB,5,44,12.2,.605,.000,.143,18.9,13.4,16.2,0.0,0.0,2.8,11.8,8.7,,0.1,0.0,0.1,.129,,-0.7,-0.8,-1.4,0.0,1988
Randy Breuer,C,27,MIL,4,47,13.0,.510,.000,.375,4.7,25.3,14.6,3.3,1.1,2.6,5.1,17.6,,0.0,0.0,0.1,.058,,-1.6,0.4,-1.2,0.0,1988
Frank Brickowski,C,28,SAS,3,113,16.4,.554,.023,.432,6.1,17.5,11.0,16.4,2.4,1.0,14.7,20.9,,0.1,0.1,0.2,.078,,1.6,0.5,2.1,0.1,1988
Michael Brooks,SF,29,DEN,4,11,16.1,.500,.667,.000,9.1,31.4,19.5,23.2,0.0,0.0,0.0,11.2,,0.0,0.0,0.0,.172,,5.1,2.1,7.2,0.0,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
Mike Brown,C,24,CHI,1,4,26.7,.568,,,0.0,0.0,0.0,31.3,12.9,0.0,0.0,9.7,,0.0,0.0,0.0,.304,,8.3,15.9,24.2,0.0,1988
Tony Campbell,SF,25,LAL,15,94,10.3,.479,.024,.381,5.2,7.2,6.3,8.1,1.7,0.0,9.3,25.6,,0.0,0.1,0.0,.026,,-3.1,-1.4,-4.5,-0.1,1988
Rick Carlisle,SG,28,NYK,2,8,7.2,.250,.500,.000,14.6,14.8,14.7,0.0,6.4,0.0,0.0,21.3,,0.0,0.0,0.0,-0.094,,-7.5,2.2,-5.3,0.0,1988
Antoine Carr,PF,26,ATL,12,210,13.4,.546,.015,.206,6.7,16.9,11.7,10.0,1.0,5.3,11.9,17.6,,0.2,0.2,0.4,.082,,-1.9,1.8,-0.2,0.1,1988
Joe Barry Carroll,C,29,HOU,4,116,8.6,.428,.000,.213,7.4,10.8,9.1,2.6,1.3,0.5,8.9,20.5,,-0.1,0.1,0.0,-0.001,,-3.7,-1.9,-5.7,-0.1,1988
Bill Cartwright,C,30,NYK,4,76,11.7,.589,.000,.833,12.3,17.2,14.7,11.6,0.0,2.6,24.5,18.2,,0.0,0.0,0.0,.020,,-2.0,-0.6,-2.6,0.0,1988
Terry Catledge,PF,24,WSB,5,45,3.3,.431,.091,.364,5.3,10.5,7.9,6.8,0.0,0.0,13.6,14.8,,0.0,0.0,0.0,-0.011,,-5.0,-1.3,-6.3,0.0,1988
Tom Chambers,PF,28,SEA,5,168,20.8,.606,.022,.385,5.7,14.7,10.4,9.9,0.9,0.4,10.9,29.1,,0.5,0.1,0.5,.149,,2.4,-0.8,1.6,0.2,1988
Steve Colter,PG,25,WSB,5,86,15.4,.469,.000,.226,6.9,13.8,10.3,26.1,1.9,2.1,12.8,20.5,,0.0,0.1,0.1,.068,,1.1,1.7,2.8,0.1,1988
Lester Conner,PG,28,HOU,1,1,181.3,1.136,,,0.0,100.0,55.3,100.0,50.4,0.0,0.0,37.1,,0.0,0.0,0.1,2.621,,59.0,84.3,143.4,0.0,1988
Michael Cooper,SG,31,LAL,24,588,10.2,.535,.473,.206,3.1,8.3,5.8,14.8,1.7,0.9,12.8,12.4,,0.6,0.4,1.0,.081,,-0.3,0.7,0.4,0.4,1988
Wayne Cooper,C,31,DEN,9,96,11.0,.377,.000,.087,16.8,20.4,18.5,7.9,1.5,4.9,14.3,11.9,,0.0,0.1,0.1,.059,,-3.8,1.6,-2.2,0.0,1988
Dave Corzine,C,31,CHI,10,308,5.0,.373,.000,.171,5.2,15.4,10.2,3.6,0.5,1.6,12.8,13.4,,-0.5,0.4,-0.1,-0.010,,-4.3,-0.9,-5.2,-0.2,1988
Pat Cummings,PF,31,NYK,3,28,7.5,.518,.000,.800,8.4,21.2,14.7,14.8,0.0,0.0,0.0,10.3,,0.1,0.0,0.1,.112,,-5.9,2.9,-3.0,0.0,1988
Terry Cummings,PF,26,MIL,5,193,22.6,.595,.000,.494,6.9,16.6,11.6,11.8,2.3,1.0,10.0,26.2,,0.5,0.2,0.7,.163,,3.6,1.3,4.9,0.3,1988
Dell Curry,SG,23,CLE,2,17,5.3,.250,.250,.000,7.1,0.0,3.3,15.2,0.0,3.2,0.0,10.5,,0.0,0.0,0.0,-0.022,,-1.1,-1.4,-2.5,0.0,1988
Adrian Dantley*,SF,32,DET,23,804,17.8,.602,.007,.610,5.4,10.1,7.8,9.6,1.2,0.1,12.1,23.4,,1.7,1.3,3.0,.180,,2.8,0.5,3.4,1.1,1988
Brad Daugherty,C,22,CLE,5,204,12.8,.515,.000,.492,5.9,18.7,12.7,11.3,0.5,1.9,17.3,20.2,,-0.1,0.2,0.2,.042,,-0.1,-0.3,-0.4,0.1,1988
Brad Davis,PG,32,DAL,17,295,12.6,.669,.071,.371,0.4,7.2,3.8,24.8,0.5,1.0,26.3,15.8,,0.4,0.0,0.4,.059,,-0.5,-1.4,-1.9,0.0,1988
Johnny Dawkins,PG,24,SAS,3,53,4.0,.303,.087,.174,1.8,5.0,3.2,11.3,1.7,0.0,3.9,18.7,,-0.1,0.0,-0.1,-0.109,,-5.3,-4.0,-9.3,-0.1,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
James Donaldson,C,30,DAL,17,499,14.2,.657,.000,.356,10.5,22.0,16.3,3.2,0.7,1.8,19.4,12.7,,0.6,0.3,0.9,.090,,0.3,-0.1,0.2,0.3,1988
Clyde Drexler*,SG,25,POR,4,170,15.5,.459,.072,.349,6.7,12.1,9.0,18.5,3.3,0.8,11.1,24.6,,0.0,0.3,0.3,.089,,3.0,0.5,3.5,0.2,1988
Kevin Duckworth,C,23,POR,4,151,13.8,.537,.014,.329,12.7,20.5,16.0,7.4,0.3,0.9,20.8,26.0,,-0.1,0.2,0.1,.027,,0.0,-2.3,-2.3,0.0,1988
Chris Dudley,C,22,CLE,4,24,10.1,.512,.000,.500,20.1,8.8,14.1,11.1,0.0,0.0,17.0,10.9,,0.0,0.0,0.0,.087,,0.1,-1.0,-1.0,0.0,1988
Joe Dumars*,SG,24,DET,23,804,11.7,.517,.024,.255,2.6,4.6,3.6,21.6,0.9,0.2,12.7,17.5,,0.7,1.1,1.7,.102,,0.0,0.1,0.1,0.4,1988
T.R. Dunn,SG,32,DEN,11,185,6.6,.553,.000,.400,6.0,11.2,8.4,2.0,2.1,0.0,14.5,6.1,,0.1,0.1,0.2,.053,,-3.5,1.1,-2.4,0.0,1988
Mark Eaton,C,31,UTA,11,461,10.1,.526,.000,.554,7.5,17.5,12.9,3.9,1.3,4.3,14.8,9.0,,0.2,0.8,0.9,.095,,-2.2,3.1,0.9,0.3,1988
James Edwards,C,32,DET,22,308,14.3,.543,.009,.373,8.7,16.9,12.9,5.9,0.3,2.1,7.2,20.0,,0.5,0.6,1.0,.160,,-0.8,1.4,0.6,0.2,1988
Craig Ehlo,SG,26,CLE,5,128,9.0,.468,.200,.400,2.8,12.4,7.9,19.0,2.0,0.0,20.3,20.5,,-0.2,0.1,0.0,-0.016,,-3.2,0.5,-2.7,0.0,1988
Dale Ellis,SG,27,SEA,5,172,15.8,.543,.145,.349,7.6,7.5,7.6,12.0,0.8,0.7,11.1,25.7,,0.3,0.0,0.3,.073,,1.8,-2.5,-0.6,0.1,1988
Alex English*,SF,34,DEN,11,438,17.0,.487,.012,.169,7.1,7.4,7.2,18.0,0.8,0.4,5.5,27.2,,0.6,0.1,0.7,.072,,2.4,-2.1,0.3,0.3,1988
Mike Evans,PG,32,DEN,11,219,13.9,.481,.386,.132,2.8,8.4,5.4,15.7,2.7,0.0,9.0,24.9,,0.0,0.1,0.2,.038,,0.1,0.0,0.1,0.1,1988
Patrick Ewing*,C,25,NYK,4,153,20.7,.562,.018,.386,12.2,27.1,19.6,10.6,2.0,5.6,14.2,21.6,,0.2,0.2,0.4,.120,,2.2,2.2,4.4,0.2,1988
Jim Farmer,SG,23,DAL,3,11,3.3,.333,.000,.000,30.5,10.1,20.3,12.8,0.0,0.0,25.0,30.8,,-0.1,0.0,-0.1,-0.230,,-7.5,-8.1,-15.6,0.0,1988
Sleepy Floyd,PG,27,HOU,4,154,17.3,.531,.131,.361,2.1,3.0,2.5,34.3,2.6,0.0,14.5,22.6,,0.2,0.1,0.3,.107,,2.0,0.6,2.7,0.2,1988
World B. Free,SG,34,HOU,2,12,-14.0,.000,.500,.000,8.9,9.5,9.2,10.3,0.0,0.0,60.0,17.5,,-0.1,0.0,-0.1,-0.437,,-15.8,-6.5,-22.4,-0.1,1988
Artis Gilmore*,C,38,BOS,14,86,5.3,.530,.000,1.750,5.7,22.3,14.1,1.6,0.0,2.9,22.0,9.5,,0.0,0.1,0.1,.043,,-4.1,0.6,-3.5,0.0,1988
Horace Grant,PF,22,CHI,10,299,15.4,.576,.012,.185,9.0,17.0,12.9,8.3,2.4,0.4,7.4,13.9,,0.5,0.5,1.0,.164,,0.8,2.2,2.9,0.4,1988
A.C. Green,PF,24,LAL,24,726,13.3,.594,.000,.432,9.7,18.4,14.2,3.8,0.8,1.0,11.4,13.9,,1.1,0.7,1.8,.121,,0.2,-0.6,-0.4,0.3,1988
Rickey Green,PG,33,UTA,7,38,4.2,.250,.000,.000,0.0,2.8,1.5,31.7,2.7,0.0,27.3,12.7,,-0.1,0.0,-0.1,-0.083,,-3.8,-0.4,-4.2,0.0,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
Sidney Green,PF,27,NYK,4,93,5.8,.471,.000,.000,10.1,31.9,20.9,10.6,0.0,0.7,34.6,11.9,,-0.2,0.0,-0.1,-0.059,,-5.2,0.5,-4.8,-0.1,1988
Pétur Guðmundsson,C,29,SAS,2,6,-27.7,.000,.000,.000,0.0,0.0,0.0,17.5,0.0,0.0,60.0,32.0,,-0.1,0.0,-0.1,-0.909,,-26.8,-6.3,-33.1,0.0,1988
Bob Hansen,SG,27,UTA,11,408,10.3,.584,.267,.163,2.4,8.2,5.5,12.4,0.9,0.0,15.7,18.4,,0.1,0.3,0.4,.051,,-1.5,-0.4,-1.8,0.0,1988
Bill Hanzlik,SF,30,DEN,11,212,7.3,.430,.143,.464,5.2,9.8,7.3,15.7,1.1,2.5,17.2,15.8,,-0.2,0.1,0.0,-0.008,,-4.3,0.7,-3.6,-0.1,1988
Derek Harper,PG,26,DAL,17,602,15.3,.504,.178,.292,2.0,5.9,4.0,26.9,2.7,0.5,12.3,18.3,,0.8,0.2,1.1,.086,,1.3,0.2,1.5,0.5,1988
Ron Harper,SG,24,CLE,4,134,18.4,.507,.032,.254,3.6,12.7,8.4,18.4,4.2,1.6,13.6,26.9,,0.0,0.2,0.2,.069,,1.2,3.5,4.6,0.2,1988
Scott Hastings,PF,27,ATL,11,103,9.0,.742,.071,.571,8.0,11.9,9.9,3.6,1.5,0.6,22.2,9.6,,0.2,0.1,0.2,.099,,-2.9,0.5,-2.3,0.0,1988
Michael Holton,PG,26,POR,4,34,3.7,.231,.077,.000,2.8,15.2,8.1,23.0,2.8,0.0,7.1,16.0,,-0.1,0.1,0.0,-0.043,,-6.0,0.2,-5.7,0.0,1988
Phil Hubbard,SF,31,CLE,3,21,-5.3,.155,.000,.167,5.7,10.1,8.1,0.0,0.0,0.0,13.4,15.8,,-0.1,0.0,-0.1,-0.230,,-9.2,-5.8,-14.9,-0.1,1988
Eddie Hughes,PG,27,UTA,7,16,2.7,.357,.429,.000,0.0,0.0,0.0,9.3,3.2,0.0,12.5,21.9,,-0.1,0.0,0.0,-0.129,,-5.6,-0.8,-6.4,0.0,1988
Jay Humphries,PG,25,MIL,2,18,-9.5,.000,.000,.000,6.1,13.2,9.5,6.7,2.8,0.0,16.7,14.0,,-0.1,0.0,-0.1,-0.240,,-17.5,-1.1,-18.6,-0.1,1988
Marc Iavaroni,PF,31,UTA,11,137,10.7,.626,.000,.483,4.5,11.0,8.0,15.0,0.7,0.9,14.6,13.2,,0.2,0.1,0.4,.125,,-2.3,2.4,0.1,0.1,1988
Mark Jackson,PG,22,NYK,4,171,12.2,.440,.200,.183,4.1,9.0,6.5,34.1,3.0,0.0,17.8,19.6,,-0.1,0.0,0.0,-0.009,,0.3,0.2,0.5,0.1,1988
Buck Johnson,SF,24,HOU,4,20,4.1,.644,.000,.667,10.7,11.4,11.1,0.0,2.5,0.0,50.8,16.6,,-0.1,0.0,-0.1,-0.136,,-5.7,-1.1,-6.7,0.0,1988
Clemon Johnson,C,31,SEA,5,39,1.2,.444,.000,.286,0.0,19.3,10.2,0.0,1.2,1.6,20.2,10.4,,-0.1,0.0,0.0,-0.039,,-7.9,0.4,-7.5,-0.1,1988
Dennis Johnson*,PG,33,BOS,17,702,14.9,.529,.076,.490,2.6,10.6,6.7,30.6,1.8,0.7,15.0,19.3,,0.8,0.8,1.6,.107,,1.9,0.9,2.8,0.8,1988
Frank Johnson,PG,29,WSB,5,44,7.9,.379,.091,.182,0.0,5.4,2.7,3.9,4.9,0.0,7.8,26.4,,-0.1,0.1,-0.1,-0.061,,-5.0,1.7,-3.3,0.0,1988
Magic Johnson*,PG,28,LAL,24,965,22.9,.600,.043,.471,4.1,11.5,8.0,46.5,1.8,0.2,17.3,22.1,,3.2,0.8,4.0,.198,,6.3,0.6,6.9,2.2,1988
Vinnie Johnson,SG,31,DET,23,477,14.3,.452,.029,.209,8.6,9.7,9.2,15.7,1.9,0.6,7.4,26.4,,0.0,0.9,0.8,.085,,-0.2,0.6,0.4,0.3,1988
Caldwell Jones,C,37,POR,4,98,4.9,.385,.000,.125,3.9,17.1,9.5,1.3,1.0,5.6,10.6,7.5,,-0.1,0.2,0.1,.054,,-4.7,1.3,-3.5,0.0,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
Charles Jones,PF,30,WSB,5,95,3.6,.255,.000,.400,6.3,15.0,10.6,2.9,1.1,2.6,0.0,2.8,,0.0,0.1,0.1,.059,,-4.8,1.6,-3.2,0.0,1988
Charles Jones,PF,26,POR,2,2,-7.9,.000,.000,.000,0.0,64.4,27.4,0.0,0.0,0.0,0.0,19.4,,0.0,0.0,0.0,-0.320,,-12.8,-6.3,-19.1,0.0,1988
Michael Jordan*,SG,24,CHI,10,427,28.4,.598,.012,.381,5.8,12.7,9.2,23.1,2.9,1.5,11.4,35.2,,1.3,0.8,2.1,.234,,8.5,3.7,12.2,1.5,1988
Jerome Kersey,SF,25,POR,4,127,21.5,.532,.015,.323,12.8,13.2,13.0,11.8,2.6,2.2,6.3,24.2,,0.3,0.2,0.5,.198,,5.4,1.2,6.6,0.3,1988
Bernard King*,SF,31,WSB,5,168,9.5,.554,.000,.396,2.1,5.6,3.9,9.1,1.0,0.0,18.4,20.5,,0.0,0.1,0.1,.017,,-1.7,-1.8,-3.5,-0.1,1988
Bart Kofoed,SG,23,UTA,10,109,2.3,.440,.217,.087,3.4,10.9,7.4,14.1,0.5,0.0,27.4,13.2,,-0.2,0.1,-0.1,-0.044,,-7.3,-0.1,-7.3,-0.1,1988
Larry Krystkowiak,PF,23,MIL,5,163,10.7,.569,.000,.621,8.8,15.3,11.9,5.7,1.2,0.0,11.9,10.8,,0.2,0.1,0.3,.094,,-1.0,-0.3,-1.4,0.0,1988
Bill Laimbeer,C,30,DET,23,779,14.0,.506,.068,.180,6.5,26.5,16.5,8.8,1.2,1.6,10.0,17.2,,0.5,1.8,2.3,.140,,0.2,2.0,2.2,0.8,1988
Allen Leavell,SG,30,HOU,4,38,11.6,.482,.316,.211,0.0,9.0,4.4,37.7,2.7,0.0,22.4,29.7,,-0.1,0.0,0.0,-0.028,,-2.3,-0.2,-2.5,0.0,1988
Fat Lever,SG,27,DEN,7,273,21.1,.529,.071,.337,5.9,20.7,12.8,25.3,2.3,0.9,3.4,17.5,,0.8,0.3,1.0,.183,,4.4,2.5,6.9,0.6,1988
Cliff Levingston,PF,27,ATL,12,163,11.6,.526,.000,.320,10.1,9.0,9.6,5.8,1.6,2.0,12.3,17.5,,0.1,0.1,0.2,.059,,-2.2,-0.4,-2.6,0.0,1988
Ralph Lewis,SG,24,DET,10,17,12.2,.333,.167,.000,20.6,34.1,27.4,8.8,0.0,0.0,0.0,15.8,,0.0,0.0,0.0,.112,,-1.6,0.1,-1.4,0.0,1988
Reggie Lewis,SG,22,BOS,12,70,12.9,.401,.029,.147,15.8,12.0,13.9,9.7,2.2,1.8,0.0,23.4,,0.0,0.1,0.1,.074,,-1.2,-0.8,-2.1,0.0,1988
Alton Lister,C,29,SEA,5,77,17.4,.729,.000,.294,14.0,28.0,21.3,8.1,0.6,4.0,17.2,12.4,,0.2,0.1,0.3,.177,,1.0,2.6,3.5,0.1,1988
