Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Yr
Dave Corzine,C,23,WSB,2,9,29.5,.850,.000,.400,23.2,12.3,17.9,0.0,0.0,0.0,33.8,40.4,,0.0,0.0,0.0,.063,,1.9,-1.1,0.8,0.0,1980
Dave Cowens*,C,31,BOS,9,301,14.1,.501,.019,.107,6.7,18.4,12.5,10.0,1.5,1.4,6.9,16.3,,0.4,0.6,1.0,.155,,1.7,0.7,2.5,0.3,1980
Charlie Criss,PG,31,ATL,5,152,15.0,.544,.051,.203,0.0,3.9,1.8,25.5,2.0,0.0,14.6,21.3,,0.2,0.0,0.2,.074,,1.5,-0.4,1.0,0.1,1980
Pat Cummings,C,23,MIL,6,57,13.5,.687,.000,.353,8.0,23.3,15.8,5.6,0.9,0.0,28.9,20.3,,0.0,0.1,0.1,.092,,-1.0,-0.8,-1.8,0.0,1980
Walter Davis,SF,25,PHO,8,245,18.3,.540,.022,.277,4.0,6.2,5.1,22.5,0.8,0.2,11.5,29.2,,0.4,0.0,0.4,.080,,2.6,-2.4,0.2,0.1,1980
Darryl Dawkins,C,23,PHI,18,607,17.2,.559,.013,.391,8.2,16.1,12.3,8.8,1.0,4.0,14.2,22.6,,0.7,0.9,1.6,.125,,1.6,-0.2,1.4,0.5,1980
John Drew,SF,25,ATL,5,150,12.2,.466,.000,.556,7.0,15.8,11.1,4.5,2.4,0.0,13.3,25.9,,-0.1,0.1,0.1,.024,,-2.1,-1.1,-3.3,0.0,1980
Mike Dunleavy,PG,25,HOU,6,45,17.3,.581,.167,.500,5.1,7.7,6.4,39.9,5.5,0.0,29.1,19.2,,0.1,0.0,0.1,.099,,-0.9,5.1,4.1,0.1,1980
T.R. Dunn,SG,24,POR,3,24,9.7,.338,.000,.250,4.6,14.7,9.5,21.9,2.1,0.0,10.1,17.7,,0.0,0.0,0.0,.004,,-2.2,1.1,-1.1,0.0,1980
Len Elmore,C,27,KCK,3,43,6.7,.324,.000,.154,14.1,13.4,13.7,3.0,3.5,1.4,22.4,17.2,,-0.1,0.1,-0.1,-0.073,,-5.2,-0.7,-5.9,0.0,1980
Julius Erving*,SF,29,PHI,18,694,22.5,.553,.027,.402,5.1,15.9,10.7,19.3,2.5,3.1,12.3,27.6,,1.3,1.2,2.6,.178,,5.7,1.2,6.9,1.6,1980
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
Mike Evans,SG,24,SAS,2,12,29.1,.564,.500,.500,0.0,18.9,9.1,28.2,0.0,0.0,0.0,34.4,,0.1,0.0,0.1,.291,,7.2,0.4,7.6,0.0,1980
Eric Fernsten,PF,26,BOS,5,18,11.8,.410,.000,.500,18.8,12.8,15.8,0.0,0.0,10.0,21.5,21.9,,0.0,0.0,0.0,.010,,0.1,-0.5,-0.5,0.0,1980
