Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
John Havlicek*,SF,36,BOS,9,,41.7,6.9,18.6,.371,,,,6.9,18.6,.371,.371,4.6,5.6,.820,1.7,3.8,5.4,6.9,0.9,0.4,,3.7,18.3,1977
Elvin Hayes*,PF,31,WSB,9,,45.0,8.2,19.2,.428,,,,8.2,19.2,.428,.428,4.6,6.6,.695,3.2,10.3,13.6,1.9,1.1,2.4,,4.3,21.0,1977
Tom Henderson,PG,25,WSB,9,,35.8,5.3,12.0,.444,,,,5.3,12.0,.444,.444,2.9,4.0,.722,0.9,1.3,2.2,7.0,1.2,0.2,,2.7,13.6,1977
Phil Hicks,SF,24,CHI,1,,4.0,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,,1.0,0.0,1977
Wilbur Holland,SG,25,CHI,3,,28.0,5.7,11.3,.500,,,,5.7,11.3,.500,.500,3.3,3.3,1.000,1.7,1.3,3.0,1.0,0.3,0.0,,2.7,14.7,1977
Lionel Hollins,PG,23,POR,19,,35.9,7.1,16.9,.417,,,,7.1,16.9,.417,.417,3.2,4.6,.682,0.7,2.1,2.7,4.5,2.5,0.3,,3.9,17.3,1977
Dan Issel*,C,28,DEN,6,,37.0,8.2,16.0,.510,,,,8.2,16.0,.510,.510,5.7,7.5,.756,3.0,6.7,9.7,2.8,0.8,0.7,,3.3,22.0,1977
Charles Johnson,PG,27,GSW,10,,16.1,2.9,7.4,.392,,,,2.9,7.4,.392,.392,0.7,0.8,.875,0.5,1.0,1.5,0.7,0.8,0.1,,1.6,6.5,1977
John Johnson,SF,29,HOU,12,,12.2,2.0,5.1,.393,,,,2.0,5.1,.393,.393,0.8,1.3,.667,0.6,1.8,2.4,0.8,0.3,0.0,,1.7,4.8,1977
Mickey Johnson,PF,24,CHI,3,,41.3,11.3,24.0,.472,,,,11.3,24.0,.472,.472,4.7,5.3,.875,4.7,8.3,13.0,2.3,1.7,0.7,,4.3,27.3,1977
Bobby Jones*,PF,25,DEN,6,,31.2,5.2,10.7,.484,,,,5.2,10.7,.484,.484,1.7,2.8,.588,1.8,4.0,5.8,3.5,2.8,2.3,,4.2,12.0,1977
Caldwell Jones,C,26,PHI,19,,27.0,1.9,3.8,.507,,,,1.9,3.8,.507,.507,0.9,1.6,.600,2.0,5.9,7.9,1.1,0.5,2.1,,4.3,4.8,1977
Dwight Jones,PF,24,HOU,12,,20.5,2.3,5.3,.444,,,,2.3,5.3,.444,.444,1.5,1.9,.783,1.1,3.2,4.3,1.3,0.7,0.3,,2.7,6.2,1977
Robin Jones,C,22,POR,19,,5.5,0.8,1.7,.469,,,,0.8,1.7,.469,.469,0.3,0.5,.667,0.4,0.8,1.2,0.5,0.2,0.2,,1.3,1.9,1977
George Karl,PG,25,SAS,1,,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977
Goo Kennedy,SF,27,HOU,6,,5.8,0.8,1.7,.500,,,,0.8,1.7,.500,.500,0.3,0.3,1.000,0.7,1.3,2.0,0.0,0.0,0.0,,1.0,2.0,1977
Larry Kenon,PF,24,SAS,2,,39.5,8.0,16.5,.485,,,,8.0,16.5,.485,.485,1.0,1.0,1.000,1.5,6.0,7.5,3.0,2.5,0.5,,4.5,17.0,1977
Tom Kropp,SG,23,CHI,1,,2.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1977
