Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Mark Acres,C,25,BOS,17,0,9.3,0.8,1.5,.538,0.0,0.0,,0.8,1.5,.538,.538,0.5,1.1,.500,0.8,1.3,2.1,0.1,0.1,0.1,0.4,1.9,2.2,1988
Michael Adams,PG,25,DEN,11,11,36.9,4.3,11.8,.362,1.5,4.9,.315,2.7,6.9,.395,.427,3.3,3.7,.878,0.8,2.5,3.3,5.8,1.6,0.2,2.1,1.7,13.4,1988
Mark Aguirre,SF,28,DAL,17,17,32.8,8.6,17.3,.500,0.8,2.0,.382,7.9,15.3,.515,.522,3.5,5.1,.698,2.0,3.9,5.9,3.3,0.8,0.5,2.4,2.9,21.6,1988
Danny Ainge,SG,28,BOS,17,17,39.4,4.2,10.8,.386,1.1,3.4,.328,3.1,7.4,.413,.438,2.2,2.5,.881,0.9,2.2,3.1,6.4,0.5,0.1,2.4,3.8,11.6,1988
Mark Alarie,PF,24,WSB,1,0,4.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1988
Steve Alford,PG,23,DAL,4,0,3.0,0.8,2.0,.375,0.0,0.5,.000,0.8,1.5,.500,.375,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.0,1.5,1988
Greg Anderson,PF,23,SAS,3,3,31.7,5.7,12.0,.472,0.0,0.0,,5.7,12.0,.472,.472,1.3,3.0,.444,2.0,5.0,7.0,1.0,0.7,1.3,3.3,3.3,12.7,1988
Richard Anderson,PF,27,POR,3,0,21.0,3.7,8.0,.458,2.0,4.7,.429,1.7,3.3,.500,.583,1.3,1.3,1.000,1.7,2.7,4.3,0.3,0.7,0.3,0.7,3.7,10.7,1988
Thurl Bailey,SF,26,UTA,11,0,40.8,9.0,18.5,.488,0.0,0.1,.000,9.0,18.4,.490,.488,5.2,6.2,.838,1.9,3.8,5.7,1.6,0.5,2.1,1.9,2.9,23.2,1988
John Battle,SG,25,ATL,12,0,13.8,2.7,5.6,.478,0.0,0.2,.000,2.7,5.4,.492,.478,1.4,2.1,.680,0.2,1.5,1.7,2.2,0.2,0.0,0.9,1.2,6.8,1988
Walter Berry,SF,23,SAS,3,0,31.3,9.0,16.7,.540,0.0,0.3,.000,9.0,16.3,.551,.540,4.0,5.0,.800,4.3,2.7,7.0,2.0,1.7,0.7,3.7,3.3,22.0,1988
Larry Bird*,SF,31,BOS,17,17,44.9,8.9,19.9,.450,0.7,1.9,.375,8.2,18.0,.458,.467,5.9,6.6,.894,1.7,7.1,8.8,6.8,2.1,0.8,2.9,2.6,24.5,1988
Uwe Blab,C,25,DAL,3,0,2.7,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.7,0.7,1.000,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.7,1988
Rolando Blackman,SG,28,DAL,17,17,39.5,7.4,15.4,.483,0.0,0.2,.000,7.4,15.2,.488,.483,3.2,3.6,.887,1.5,1.7,3.2,4.5,0.9,0.2,1.5,1.6,18.1,1988
Muggsy Bogues,PG,23,WSB,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1988
Manute Bol,C,25,WSB,5,0,8.8,0.8,1.4,.571,0.0,0.0,,0.8,1.4,.571,.571,0.2,0.2,1.000,1.4,1.0,2.4,0.0,0.0,0.4,0.2,1.0,1.8,1988
Randy Breuer,C,27,MIL,4,0,11.8,2.3,4.0,.563,0.0,0.0,,2.3,4.0,.563,.563,0.3,1.5,.167,0.5,2.5,3.0,0.3,0.3,0.5,0.3,1.8,4.8,1988
Frank Brickowski,C,28,SAS,3,3,37.7,7.3,14.7,.500,0.3,0.3,1.000,7.0,14.3,.488,.511,4.3,6.3,.684,2.3,5.0,7.3,4.7,2.0,0.7,3.0,4.0,19.3,1988
Michael Brooks,SF,29,DEN,4,0,2.8,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.3,0.8,1.0,0.5,0.0,0.0,0.0,0.3,0.8,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
Mike Brown,C,24,CHI,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1988
Tony Campbell,SF,25,LAL,15,0,6.3,1.2,2.8,.429,0.0,0.1,.000,1.2,2.7,.439,.429,0.7,1.1,.688,0.3,0.4,0.7,0.3,0.2,0.0,0.3,1.1,3.1,1988
Rick Carlisle,SG,28,NYK,2,0,4.0,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.5,1.0,1988
Antoine Carr,PF,26,ATL,12,0,17.5,3.0,5.7,.529,0.0,0.1,.000,3.0,5.6,.537,.529,0.8,1.2,.643,1.0,2.4,3.4,1.3,0.3,1.4,0.8,3.9,6.8,1988
Joe Barry Carroll,C,29,HOU,4,4,29.0,4.5,11.8,.383,0.0,0.0,,4.5,11.8,.383,.383,2.0,2.5,.800,2.0,2.8,4.8,0.5,0.8,0.3,1.3,3.0,11.0,1988
Bill Cartwright,C,30,NYK,4,0,19.0,2.3,4.5,.500,0.0,0.0,,2.3,4.5,.500,.500,2.8,3.8,.733,2.0,2.8,4.8,1.5,0.0,0.8,2.0,3.0,7.3,1988
Terry Catledge,PF,24,WSB,5,0,9.0,0.8,2.2,.364,0.0,0.2,.000,0.8,2.0,.400,.364,0.6,0.8,.750,0.4,0.8,1.2,0.4,0.0,0.0,0.4,1.8,2.2,1988
Tom Chambers,PF,28,SEA,5,5,33.6,10.0,18.2,.549,0.0,0.4,.000,10.0,17.8,.562,.549,5.8,7.0,.829,1.6,4.6,6.2,2.2,0.6,0.2,2.6,4.8,25.8,1988
Steve Colter,PG,25,WSB,5,5,17.2,2.8,6.2,.452,0.0,0.0,,2.8,6.2,.452,.452,0.8,1.4,.571,1.0,2.0,3.0,2.6,0.6,0.6,1.0,1.8,6.4,1988
Lester Conner,PG,28,HOU,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.000,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1988
Michael Cooper,SG,31,LAL,24,0,24.5,2.3,5.5,.412,1.0,2.6,.403,1.2,2.9,.420,.508,0.8,1.1,.741,0.6,1.8,2.4,2.8,0.8,0.4,0.9,2.4,6.4,1988
Wayne Cooper,C,31,DEN,9,0,10.7,0.9,2.6,.348,0.0,0.0,,0.9,2.6,.348,.348,0.2,0.2,1.000,1.8,1.9,3.7,0.7,0.3,0.9,0.4,2.1,2.0,1988
Dave Corzine,C,31,CHI,10,10,30.8,2.7,7.6,.355,0.0,0.0,,2.7,7.6,.355,.355,0.7,1.3,.538,1.5,4.2,5.7,0.8,0.3,0.8,1.2,2.1,6.1,1988
Pat Cummings,PF,31,NYK,3,0,9.3,0.7,1.7,.400,0.0,0.0,,0.7,1.7,.400,.400,1.0,1.3,.750,0.7,1.7,2.3,1.0,0.0,0.0,0.0,3.7,2.3,1988
Terry Cummings,PF,26,MIL,5,5,38.6,10.0,17.8,.562,0.0,0.0,,10.0,17.8,.562,.562,5.8,8.8,.659,2.4,5.4,7.8,2.6,1.8,0.6,2.4,3.2,25.8,1988
Dell Curry,SG,23,CLE,2,0,8.5,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,1.0,1988
Adrian Dantley*,SF,32,DET,23,23,35.0,6.7,12.7,.524,0.0,0.1,.000,6.7,12.6,.528,.524,6.1,7.7,.787,1.6,3.0,4.7,2.0,0.8,0.0,2.2,2.2,19.4,1988
Brad Daugherty,C,22,CLE,5,5,40.8,5.8,12.6,.460,0.0,0.0,,5.8,12.6,.460,.460,4.2,6.2,.677,2.0,7.2,9.2,3.2,0.4,1.4,3.2,2.2,15.8,1988
Brad Davis,PG,32,DAL,17,0,17.4,2.5,4.1,.600,0.1,0.3,.200,2.4,3.8,.631,.607,1.4,1.5,.923,0.1,1.1,1.2,3.2,0.2,0.3,1.7,2.0,6.4,1988
Johnny Dawkins,PG,24,SAS,3,0,17.7,2.0,7.7,.261,0.0,0.7,.000,2.0,7.0,.286,.261,1.0,1.3,.750,0.3,0.7,1.0,1.7,0.7,0.0,0.3,0.7,5.0,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
James Donaldson,C,30,DAL,17,17,29.4,4.0,6.1,.654,0.0,0.0,,4.0,6.1,.654,.654,1.3,2.2,.595,2.8,5.8,8.6,0.7,0.4,0.9,1.7,2.4,9.3,1988
Clyde Drexler*,SG,25,POR,4,4,42.5,8.0,20.8,.386,0.8,1.5,.500,7.3,19.3,.377,.404,5.3,7.3,.724,3.0,4.0,7.0,5.3,3.0,0.5,3.0,3.5,22.0,1988
Kevin Duckworth,C,23,POR,4,4,37.8,8.5,17.5,.486,0.0,0.3,.000,8.5,17.3,.493,.486,4.5,5.8,.783,5.0,6.0,11.0,1.8,0.3,0.5,5.3,3.5,21.5,1988
Chris Dudley,C,22,CLE,4,0,6.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.3,0.5,.500,1.0,0.5,1.5,0.5,0.0,0.0,0.3,0.8,1.3,1988
Joe Dumars*,SG,24,DET,23,23,35.0,4.9,10.7,.457,0.1,0.3,.333,4.8,10.5,.461,.462,2.4,2.7,.889,0.8,1.4,2.2,4.9,0.6,0.1,1.7,2.2,12.3,1988
T.R. Dunn,SG,32,DEN,11,3,16.8,1.0,1.8,.550,0.0,0.0,,1.0,1.8,.550,.550,0.4,0.7,.500,1.0,1.6,2.6,0.3,0.7,0.0,0.4,1.8,2.4,1988
Mark Eaton,C,31,UTA,11,11,41.9,2.8,5.9,.477,0.0,0.0,,2.8,5.9,.477,.477,2.1,3.3,.639,2.5,6.8,9.4,1.2,1.1,3.1,1.3,4.4,7.7,1988
James Edwards,C,32,DET,22,2,14.0,2.5,5.0,.509,0.0,0.0,.000,2.5,5.0,.514,.509,1.2,1.9,.659,1.0,2.0,3.1,0.5,0.1,0.5,0.5,2.5,6.3,1988
Craig Ehlo,SG,26,CLE,5,1,25.6,3.4,8.0,.425,0.0,1.6,.000,3.4,6.4,.531,.425,2.0,3.2,.625,0.6,3.0,3.6,3.4,1.0,0.0,2.4,2.8,8.8,1988
Dale Ellis,SG,27,SEA,5,5,34.4,8.0,16.6,.482,0.6,2.4,.250,7.4,14.2,.521,.500,4.2,5.8,.724,2.2,2.4,4.6,3.0,0.6,0.4,2.4,3.4,20.8,1988
Alex English*,SF,34,DEN,11,11,39.8,10.5,23.2,.455,0.0,0.3,.000,10.5,22.9,.460,.455,3.2,3.9,.814,2.8,2.5,5.4,4.4,0.6,0.3,1.5,3.1,24.3,1988
Mike Evans,PG,32,DEN,11,1,19.9,4.1,10.4,.395,1.1,4.0,.273,3.0,6.4,.471,.447,1.3,1.4,.933,0.5,1.5,2.0,2.1,1.1,0.0,1.1,1.7,10.5,1988
Patrick Ewing*,C,25,NYK,4,4,38.3,7.0,14.3,.491,0.0,0.3,.000,7.0,14.0,.500,.491,4.8,5.5,.864,4.0,8.8,12.8,2.5,1.5,3.3,2.8,4.3,18.8,1988
Jim Farmer,SG,23,DAL,3,0,3.7,0.7,2.0,.333,0.0,0.0,,0.7,2.0,.333,.333,0.0,0.0,,1.0,0.3,1.3,0.3,0.0,0.0,0.7,0.7,1.3,1988
Sleepy Floyd,PG,27,HOU,4,4,38.5,6.5,15.3,.426,1.0,2.0,.500,5.5,13.3,.415,.459,4.8,5.5,.864,0.8,1.0,1.8,8.5,2.0,0.0,3.0,2.5,18.8,1988
World B. Free,SG,34,HOU,2,0,6.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,1.5,1.0,0.0,1988
Artis Gilmore*,C,38,BOS,14,0,6.1,0.3,0.6,.500,0.0,0.0,,0.3,0.6,.500,.500,0.5,1.0,.500,0.3,1.1,1.4,0.1,0.0,0.3,0.3,1.0,1.1,1988
Horace Grant,PF,22,CHI,10,0,29.9,4.6,8.1,.568,0.0,0.1,.000,4.6,8.0,.575,.568,0.9,1.5,.600,2.5,4.5,7.0,1.6,1.4,0.2,0.7,3.5,10.1,1988
A.C. Green,PF,24,LAL,24,18,30.3,3.8,7.0,.544,0.0,0.0,,3.8,7.0,.544,.544,2.3,3.0,.753,2.4,4.9,7.3,0.8,0.5,0.5,1.1,2.5,10.0,1988
Rickey Green,PG,33,UTA,7,0,5.4,0.3,1.1,.250,0.0,0.0,,0.3,1.1,.250,.250,0.0,0.0,,0.0,0.1,0.1,1.3,0.3,0.0,0.4,0.3,0.6,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
Sidney Green,PF,27,NYK,4,4,23.3,2.0,4.3,.471,0.0,0.0,,2.0,4.3,.471,.471,0.0,0.0,,2.0,6.3,8.3,1.8,0.0,0.3,2.3,3.5,4.0,1988
Pétur Guðmundsson,C,29,SAS,2,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,1988
Bob Hansen,SG,27,UTA,11,11,37.1,6.1,12.3,.496,1.7,3.3,.528,4.4,9.0,.485,.567,1.5,2.0,.727,0.7,2.8,3.5,2.9,0.6,0.0,2.5,3.8,15.4,1988
Bill Hanzlik,SF,30,DEN,11,0,19.3,1.8,5.1,.357,0.0,0.7,.000,1.8,4.4,.417,.357,1.6,2.4,.692,1.0,1.6,2.6,2.4,0.5,0.8,1.3,3.6,5.3,1988
Derek Harper,PG,26,DAL,17,17,35.4,5.2,11.9,.441,0.5,2.1,.250,4.7,9.8,.482,.463,2.5,3.5,.729,0.6,1.9,2.5,7.1,1.9,0.3,1.9,2.6,13.5,1988
Ron Harper,SG,24,CLE,4,4,33.5,7.5,15.8,.476,0.0,0.5,.000,7.5,15.3,.492,.476,2.8,4.0,.688,1.0,4.0,5.0,3.8,2.8,1.0,2.8,2.3,17.8,1988
Scott Hastings,PF,27,ATL,11,0,9.4,0.8,1.3,.643,0.0,0.1,.000,0.8,1.2,.692,.643,0.7,0.7,1.000,0.6,0.9,1.5,0.3,0.3,0.1,0.5,1.9,2.4,1988
Michael Holton,PG,26,POR,4,0,8.5,0.8,3.3,.231,0.0,0.3,.000,0.8,3.0,.250,.231,0.0,0.0,,0.3,1.0,1.3,1.5,0.5,0.0,0.3,1.5,1.5,1988
Phil Hubbard,SF,31,CLE,3,0,7.0,0.3,2.0,.167,0.0,0.0,,0.3,2.0,.167,.167,0.0,0.3,.000,0.3,0.7,1.0,0.0,0.0,0.0,0.3,0.3,0.7,1988
Eddie Hughes,PG,27,UTA,7,0,2.3,0.3,1.0,.286,0.1,0.4,.333,0.1,0.6,.250,.357,0.0,0.0,,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.7,1988
Jay Humphries,PG,25,MIL,2,0,9.0,0.0,2.5,.000,0.0,0.0,,0.0,2.5,.000,.000,0.0,0.0,,0.5,1.0,1.5,0.5,0.5,0.0,0.5,3.0,0.0,1988
Marc Iavaroni,PF,31,UTA,11,11,12.5,1.5,2.6,.552,0.0,0.0,,1.5,2.6,.552,.552,1.1,1.3,.857,0.5,1.3,1.7,1.3,0.2,0.2,0.5,2.4,4.0,1988
Mark Jackson,PG,22,NYK,4,4,42.8,5.5,15.0,.367,1.3,3.0,.417,4.3,12.0,.354,.408,2.0,2.8,.727,1.5,3.3,4.8,9.8,2.5,0.0,3.5,3.3,14.3,1988
Buck Johnson,SF,24,HOU,4,0,5.0,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.3,0.5,.500,0.5,0.5,1.0,0.0,0.3,0.0,1.0,0.3,1.3,1988
Clemon Johnson,C,31,SEA,5,0,7.8,0.6,1.4,.429,0.0,0.0,,0.6,1.4,.429,.429,0.2,0.4,.500,0.0,1.4,1.4,0.0,0.2,0.2,0.4,2.0,1.4,1988
Dennis Johnson*,PG,33,BOS,17,17,41.3,5.4,12.4,.433,0.4,0.9,.375,5.0,11.4,.438,.448,4.8,6.1,.796,0.9,3.6,4.5,8.2,1.4,0.5,2.6,3.0,15.9,1988
Frank Johnson,PG,29,WSB,5,0,8.8,1.4,4.4,.318,0.0,0.4,.000,1.4,4.0,.350,.318,0.8,0.8,1.000,0.0,0.4,0.4,0.2,0.8,0.0,0.4,0.8,3.6,1988
Magic Johnson*,PG,28,LAL,24,24,40.2,7.0,13.7,.514,0.3,0.6,.500,6.8,13.1,.514,.524,5.5,6.5,.852,1.3,4.1,5.4,12.6,1.4,0.2,3.5,2.5,19.9,1988
Vinnie Johnson,SG,31,DET,23,0,20.7,4.4,10.4,.423,0.0,0.3,.143,4.3,10.1,.431,.425,1.4,2.2,.660,1.5,1.7,3.3,1.9,0.7,0.2,0.9,2.1,10.3,1988
Caldwell Jones,C,37,POR,4,4,24.5,1.5,4.0,.375,0.0,0.0,,1.5,4.0,.375,.375,0.3,0.5,.500,1.0,3.3,4.3,0.3,0.5,2.0,0.5,4.3,3.3,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
Charles Jones,PF,30,WSB,5,1,19.0,0.2,1.0,.200,0.0,0.0,,0.2,1.0,.200,.200,0.2,0.4,.500,1.0,2.4,3.4,0.4,0.4,0.8,0.0,3.6,0.6,1988
Charles Jones,PF,26,POR,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1988
Michael Jordan*,SG,24,CHI,10,10,42.7,13.8,26.0,.531,0.1,0.3,.333,13.7,25.7,.533,.533,8.6,9.9,.869,2.3,4.8,7.1,4.7,2.4,1.1,3.9,3.8,36.3,1988
Jerome Kersey,SF,25,POR,4,4,31.8,8.0,16.3,.492,0.0,0.3,.000,8.0,16.0,.500,.492,3.8,5.3,.714,4.3,3.3,7.5,2.3,1.8,1.0,1.3,4.3,19.8,1988
Bernard King*,SF,31,WSB,5,4,33.6,5.2,10.6,.491,0.0,0.0,,5.2,10.6,.491,.491,3.4,4.2,.810,0.6,1.6,2.2,1.8,0.6,0.0,2.8,3.4,13.8,1988
Bart Kofoed,SG,23,UTA,10,0,10.9,0.9,2.3,.391,0.1,0.5,.200,0.8,1.8,.444,.413,0.2,0.2,1.000,0.3,1.1,1.4,1.1,0.1,0.0,0.9,1.8,2.1,1988
Larry Krystkowiak,PF,23,MIL,5,5,32.6,2.6,5.8,.448,0.0,0.0,,2.6,5.8,.448,.448,3.2,3.6,.889,2.6,4.2,6.8,1.4,0.8,0.0,1.0,3.4,8.4,1988
Bill Laimbeer,C,30,DET,23,23,33.9,5.0,10.9,.456,0.2,0.7,.294,4.7,10.1,.468,.466,1.7,2.0,.889,1.9,7.7,9.6,1.9,0.8,0.8,1.3,3.3,11.9,1988
Allen Leavell,SG,30,HOU,4,0,9.5,1.8,4.8,.368,0.5,1.5,.333,1.3,3.3,.385,.421,1.0,1.0,1.000,0.0,0.8,0.8,2.3,0.5,0.0,1.5,1.5,5.0,1988
Fat Lever,SG,27,DEN,7,7,39.0,6.4,14.0,.459,0.4,1.0,.429,6.0,13.0,.462,.474,3.7,4.7,.788,2.3,7.0,9.3,7.0,1.9,0.6,0.6,2.1,17.0,1988
Cliff Levingston,PF,27,ATL,12,0,13.6,2.0,4.2,.480,0.0,0.0,,2.0,4.2,.480,.480,1.0,1.3,.750,1.2,1.0,2.2,0.6,0.4,0.4,0.7,2.1,5.0,1988
Ralph Lewis,SG,24,DET,10,0,1.7,0.2,0.6,.333,0.0,0.1,.000,0.2,0.5,.400,.333,0.0,0.0,,0.3,0.5,0.8,0.1,0.0,0.0,0.0,0.2,0.4,1988
Reggie Lewis,SG,22,BOS,12,0,5.8,1.1,2.8,.382,0.0,0.1,.000,1.1,2.8,.394,.382,0.3,0.4,.600,0.8,0.6,1.3,0.3,0.3,0.2,0.0,1.1,2.4,1988
Alton Lister,C,29,SEA,5,5,15.4,2.4,3.4,.706,0.0,0.0,,2.4,3.4,.706,.706,0.8,1.0,.800,1.8,4.0,5.8,1.0,0.2,1.0,0.8,3.4,5.6,1988
Brad Lohaus,PF,23,BOS,9,0,2.9,0.9,1.2,.727,0.0,0.2,.000,0.9,1.0,.889,.727,0.0,0.0,,0.1,0.3,0.4,0.0,0.0,0.1,0.1,0.4,1.8,1988
John Lucas,PG,34,MIL,5,0,16.0,2.0,5.4,.370,0.6,2.6,.231,1.4,2.8,.500,.426,1.2,1.8,.667,1.0,0.6,1.6,3.8,1.0,0.0,1.2,1.0,5.8,1988
Maurice Lucas,PF,35,POR,4,0,15.8,1.0,3.3,.308,0.0,0.0,,1.0,3.3,.308,.308,0.5,1.0,.500,2.3,4.0,6.3,1.3,0.3,0.0,1.3,3.0,2.5,1988
Rick Mahorn,PF,29,DET,23,21,17.8,1.3,3.9,.344,0.0,0.0,,1.3,3.9,.344,.344,0.6,0.8,.684,0.8,3.0,3.9,0.6,0.2,0.4,0.7,2.8,3.3,1988
Jeff Malone,SG,26,WSB,5,5,39.8,10.0,19.4,.515,0.0,0.2,.000,10.0,19.2,.521,.515,5.6,7.4,.757,0.6,2.8,3.4,2.2,1.0,1.0,2.8,3.2,25.6,1988
Karl Malone*,PF,24,UTA,11,11,44.9,11.2,23.2,.482,0.0,0.1,.000,11.2,23.1,.484,.482,7.4,10.2,.723,3.0,8.8,11.8,1.5,1.2,0.6,3.5,3.2,29.7,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
Moses Malone*,C,32,WSB,5,5,39.6,6.0,13.0,.462,0.0,0.2,.000,6.0,12.8,.469,.462,6.6,8.0,.825,4.4,6.8,11.2,1.4,0.6,0.8,3.0,1.8,18.6,1988
Maurice Martin,SF,23,DEN,3,0,3.0,0.3,1.7,.200,0.0,0.3,.000,0.3,1.3,.250,.200,1.7,2.0,.833,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.3,2.3,1988
Wes Matthews,PG,28,LAL,10,0,2.7,0.2,0.5,.400,0.0,0.1,.000,0.2,0.4,.500,.400,0.8,1.0,.800,0.0,0.1,0.1,0.2,0.1,0.0,0.3,0.4,1.2,1988
Cedric Maxwell,SF,32,HOU,4,0,3.8,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.5,1988
Rodney McCray,SF,26,HOU,4,4,39.8,3.0,7.8,.387,0.0,0.3,.000,3.0,7.5,.400,.387,2.0,3.0,.667,3.8,3.0,6.8,2.3,1.0,0.8,1.8,3.0,8.0,1988
Xavier McDaniel,SF,24,SEA,5,5,36.0,9.0,16.2,.556,0.8,1.6,.500,8.2,14.6,.562,.580,2.4,4.8,.500,2.8,6.8,9.6,5.0,0.6,0.2,2.2,3.0,21.2,1988
Kevin McHale*,PF,30,BOS,17,17,42.1,9.3,15.4,.603,0.1,0.1,1.000,9.2,15.4,.602,.605,6.8,8.1,.839,3.2,4.8,8.0,2.4,0.4,1.8,2.3,3.8,25.4,1988
Derrick McKey,SF,21,SEA,5,0,21.8,4.8,7.6,.632,0.4,1.2,.333,4.4,6.4,.688,.658,2.0,3.4,.588,1.4,2.6,4.0,1.6,0.6,1.0,1.0,2.4,12.0,1988
Nate McMillan,PG,23,SEA,5,5,25.4,2.4,7.0,.343,0.0,0.2,.000,2.4,6.8,.353,.343,1.8,2.8,.643,1.2,3.0,4.2,6.6,0.4,0.6,1.6,2.2,6.6,1988
Dirk Minniefield,PG,27,BOS,11,0,4.5,0.5,1.3,.429,0.2,0.4,.500,0.4,0.9,.400,.500,0.2,0.2,1.000,0.1,0.1,0.2,1.0,0.2,0.0,0.9,1.2,1.5,1988
Mike Mitchell,SF,32,SAS,3,3,24.7,4.3,12.3,.351,0.0,0.0,,4.3,12.3,.351,.351,1.7,2.0,.833,2.0,3.0,5.0,1.3,0.3,0.3,1.7,1.7,10.3,1988
Paul Mokeski,C,31,MIL,4,0,10.0,1.3,3.5,.357,0.0,0.0,,1.3,3.5,.357,.357,1.0,1.5,.667,1.3,1.0,2.3,0.0,0.8,0.5,0.5,1.0,3.5,1988
Sidney Moncrief*,SG,30,MIL,5,5,34.6,4.8,10.0,.480,0.2,0.2,1.000,4.6,9.8,.469,.490,5.2,5.4,.963,1.2,2.6,3.8,5.2,0.6,0.2,2.2,2.8,15.0,1988
Larry Nance,PF,28,CLE,5,5,40.0,6.8,12.8,.531,0.0,0.0,,6.8,12.8,.531,.531,3.2,3.6,.889,2.0,5.2,7.2,3.6,0.4,2.2,2.8,2.6,16.8,1988
Ed Nealy,PF,27,SAS,2,0,18.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.5,2.0,3.5,2.0,0.5,0.0,0.5,3.0,2.0,1988
Chuck Nevitt,C,28,DET,3,0,1.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.7,0.3,1.0,0.0,0.0,0.0,0.3,0.3,0.7,1988
Johnny Newman,SF,24,NYK,4,2,28.3,7.8,17.0,.456,0.0,2.3,.000,7.8,14.8,.525,.456,3.5,4.0,.875,2.0,0.8,2.8,1.8,1.5,0.3,1.5,4.0,19.0,1988
Kurt Nimphius,C,29,SAS,3,0,10.0,1.7,3.3,.500,0.0,0.0,,1.7,3.3,.500,.500,0.7,0.7,1.000,1.0,1.7,2.7,0.7,0.0,0.3,0.0,2.3,4.0,1988
Charles Oakley,PF,24,CHI,10,10,37.3,4.0,9.1,.440,0.0,0.2,.000,4.0,8.9,.449,.440,2.1,2.4,.875,3.9,8.9,12.8,3.2,0.6,0.4,1.8,3.3,10.1,1988
Hakeem Olajuwon*,C,25,HOU,4,4,40.5,14.0,24.5,.571,0.0,0.3,.000,14.0,24.3,.577,.571,9.5,10.8,.884,5.0,11.8,16.8,1.8,2.3,2.8,2.3,3.5,37.5,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
Louis Orr,SF,29,NYK,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1988
Robert Parish*,C,34,BOS,17,17,36.8,5.9,11.1,.532,0.0,0.0,,5.9,11.1,.532,.532,2.9,3.6,.820,3.0,6.9,9.9,1.2,0.6,1.1,2.2,2.5,14.7,1988
Jim Paxson,SG,30,BOS,15,0,12.5,1.1,3.9,.288,0.0,0.1,.000,1.1,3.8,.298,.288,1.1,1.3,.800,0.1,0.5,0.6,0.7,0.4,0.1,0.8,1.2,3.3,1988
John Paxson,PG,27,CHI,10,0,16.5,2.0,5.3,.377,0.2,1.2,.167,1.8,4.1,.439,.396,0.4,0.4,1.000,0.0,0.4,0.4,3.0,0.1,0.1,0.5,2.4,4.6,1988
Sam Perkins,PF,26,DAL,17,17,33.6,5.2,11.5,.451,0.1,0.4,.143,5.1,11.1,.463,.454,3.1,3.9,.803,2.3,4.3,6.6,1.8,1.5,1.0,1.8,3.0,13.5,1988
