Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Yr
Chris Ford,SG,26,DET,3,82,8.2,0.545,,0,2.8,13.3,8.5,15.8,0.6,0,,,0,0,0.1,0.047,-3.7,0,-3.7,0,1975
Jim Fox,C,31,SEA,8,40,6.7,0.351,,0.5,10.6,12.7,11.7,6.8,0,1.3,,,-0.1,0,-0.1,-0.1,-5.8,-3.1,-9,-0.1,1975
Walt Frazier*,PG,29,NYK,3,124,27.3,0.669,,0.348,2.8,14.3,8.8,33.3,4.3,0,,,0.6,0.1,0.6,0.251,5.1,4,9.1,0.3,1975
Rowland Garrett,SF,24,CHI,12,143,7.3,0.381,,0.071,5.7,15.4,10.5,3.4,1.4,1.6,,,-0.3,0.2,0,-0.011,-5,-0.6,-5.5,-0.1,1975
John Gianelli,C,24,NYK,3,93,8.9,0.494,,0.125,6.1,10.1,8.2,3.4,0,2.3,,,0,0,0,-0.009,-3.7,-1.3,-5,-0.1,1975
Dick Gibbs,SF,26,WSB,6,17,14.3,0.368,,0.2,0,5.7,3,17.3,8.1,0,,,-0.1,0,0,-0.026,-2.4,3.9,1.4,0,1975
Leonard Gray,PF,23,SEA,9,263,12.1,0.519,,0.163,4.4,13.2,8.9,11.1,2.1,1,,,0.1,0.2,0.4,0.065,-2.1,0.7,-1.4,0,1975
,,,,,,,,,,,,,,,,,,,,,,,,,,1975
Matt Guokas,SG,30,CHI,13,202,5.3,0.402,,0.229,2,5.2,3.6,7.8,1.7,0.3,,,-0.1,0.2,0.1,0.033,-3.2,0.6,-2.6,0,1975
Phil Hankinson,SF,23,BOS,2,3,22.4,0.333,,0,65.3,0,35.3,0,0,0,,,0,0,0,0.113,9.5,-11.9,-2.4,0,1975
Clem Haskins,SG,31,WSB,13,75,12.7,0.555,,0.286,7.2,2.6,4.8,8.1,1.2,0.7,,,0.1,0.1,0.1,0.089,-0.9,-0.5,-1.4,0,1975
John Havlicek*,SF,34,BOS,11,464,15.7,0.515,,0.396,3.8,9.7,6.5,14.9,1.6,0.1,,,1.1,0.1,1.2,0.124,1.5,-0.1,1.4,0.4,1975
Steve Hawes,C,24,HOU,8,128,13.6,0.524,,0.237,2.6,23.1,12.8,13.4,1.1,1.3,,,0.2,0,0.2,0.073,0.2,1.3,1.5,0.1,1975
Elvin Hayes*,PF,29,WSB,17,751,18.8,0.507,,0.341,6.6,17.9,12.6,7.9,1.6,2.6,,,0.9,1.3,2.2,0.138,2.6,0.3,2.9,0.9,1975
Spencer Haywood*,PF,25,SEA,9,337,12.9,0.447,,0.466,6.3,18.4,12.5,7.7,1,1.7,,,-0.1,0.3,0.2,0.023,-2,-1.1,-3.1,-0.1,1975
Gar Heard,PF,26,BUF,7,250,12.2,0.401,,0.146,9.8,22.9,16.1,10.1,1.6,1.7,,,-0.2,0.2,0.1,0.014,-0.7,-0.1,-0.8,0.1,1975
John Hummer,PF,26,SEA,6,68,0.2,0,,0,1.6,12,6.9,7,1.3,0,,,-0.2,0,-0.1,-0.104,-6.1,-0.3,-6.4,-0.1,1975
Phil Jackson*,PF,29,NYK,3,78,14.7,0.551,,0.381,7.3,26.8,17.5,4.2,2.5,2,,,0,0.1,0.1,0.075,-3.8,1.6,-2.3,0,1975
Charles Johnson,SG,25,GSW,17,508,11.8,0.439,,0.104,3.7,8.4,6,10.4,2.3,0.7,,,0,0.7,0.7,0.07,-0.2,-0.7,-0.8,0.1,1975
George Johnson,C,26,GSW,17,321,17.9,0.588,,0.429,16.7,23.3,20,6.3,1.3,7.2,,,0.6,0.8,1.3,0.201,2.6,1.8,4.4,0.5,1975
Mickey Johnson,PF,22,CHI,3,5,2.9,0.333,,0,0,0,0,0,0,11.4,,,0,0,0,-0.293,-14.1,1.4,-12.8,0,1975
Ollie Johnson,SF,25,KCO,6,166,13.9,0.522,,0.214,6.6,8,7.3,6.3,2.1,1.3,,,0.2,0.1,0.4,0.103,1.1,0.3,1.5,0.1,1975
Jimmy Jones,PG,30,WSB,11,206,12.9,0.494,,0.172,2.6,7.9,5.4,14.3,3.6,0.2,,,0.1,0.3,0.4,0.098,0,2.4,2.3,0.2,1975
Don Kojis,SF,36,KCO,4,22,9.2,0.405,,1,5,13.9,9.6,6.6,2.2,0,,,0,0,0,-0.029,-4.6,-0.6,-5.3,0,1975
Len Kosmalski,C,23,KCO,6,29,15.5,0.694,,1,3.8,31.7,18.2,25.9,1.7,0,,,0,0.1,0.1,0.122,0.2,3.9,4.1,0,1975
Tom Kozelko,PF,23,WSB,13,54,6.9,0.53,,0.455,8,5.3,6.6,2.4,0,0,,,0,0,0.1,0.061,-1.4,-2.1,-3.5,0,1975
Kevin Kunnert,C,23,HOU,8,244,11.4,0.471,,0.321,5.1,22.8,13.9,6.5,0.8,2.9,,,0,0.1,0.1,0.02,-3.2,0.4,-2.7,0,1975
Sam Lacey,C,26,KCO,6,264,13.9,0.414,,0.295,6.2,30.5,18.8,17.6,2.2,1.9,,,-0.2,0.5,0.4,0.065,0.4,2.6,2.9,0.3,1975
,,,,,,,,,,,,,,,,,,,,,,,,,,1975
Bob Lanier*,C,26,DET,3,128,21.5,0.542,,0.235,4.5,20.9,13.3,23,1.5,4.7,,,0.2,0.2,0.4,0.151,1.8,4,5.8,0.3,1975
Bill Ligon,SG,22,DET,2,7,7.7,1,,0,0,0,0,0,0,0,,,0,0,0,0.115,-2.7,-1.1,-3.8,0,1975
Bob Love,PF,32,CHI,13,583,16.3,0.48,,0.244,5.5,12.1,8.7,6.2,0.8,0.5,,,0.7,0.7,1.4,0.118,2.3,-2,0.3,0.3,1975
Jack Marin,SF,30,BUF,7,108,13.8,0.551,,0.556,4.7,12.2,8.3,9.8,3,0.5,,,0.2,0.1,0.3,0.114,0.8,1.5,2.3,0.1,1975
Bob McAdoo*,C,23,BUF,7,327,24.3,0.528,,0.338,7.8,23.2,15.2,5.6,0.8,3.1,,,0.8,0.3,1.1,0.168,5,-0.7,4.4,0.5,1975
Glenn McDonald,SF,22,BOS,6,30,-0.4,0.188,,0.25,3.3,19.2,10.6,7.8,1.5,0,,,-0.1,0,-0.1,-0.216,-9.4,-2.4,-11.8,-0.1,1975
Jim McMillian,SF,26,BUF,7,240,13,0.494,,0.163,4.3,11,7.5,8.3,2.1,0.4,,,0.3,0.1,0.4,0.08,1.5,0.1,1.6,0.2,1975
Larry McNeill,PF,24,KCO,6,103,21.5,0.713,,0.588,7.4,18.8,13.3,3.7,1,1.1,,,0.4,0.1,0.5,0.249,2.4,0.5,2.9,0.1,1975
John Mengelt,SG,25,DET,3,65,11.9,0.464,,0.391,3.5,9.2,6.6,19.5,0.7,0.8,,,0,0,0,0.001,-4.2,-1.5,-5.7,-0.1,1975
Earl Monroe*,SG,30,NYK,3,89,11.2,0.384,,0.489,1.3,9.4,5.5,11.1,2.2,1.2,,,-0.2,0,-0.2,-0.13,-5.6,-1.7,-7.3,-0.1,1975
Jeff Mullins,SG,32,GSW,17,313,13.5,0.505,,0.252,5.1,6.3,5.7,14,1.5,0.2,,,0.3,0.4,0.7,0.107,1,-1.4,-0.4,0.1,1975
Calvin Murphy*,PG,26,HOU,8,305,19.8,0.538,,0.365,3.3,3.7,3.5,22.2,2.1,0.2,,,0.9,-0.1,0.8,0.128,1.7,-0.9,0.9,0.2,1975
Don Nelson*,SF,34,BOS,11,274,19.9,0.626,,0.35,6.4,11.3,8.7,14,0.3,0.4,,,1.2,0,1.2,0.209,4.6,-0.3,4.2,0.4,1975
Mike Newlin,SG,26,HOU,8,299,16.2,0.543,,0.271,4.1,8.4,6.2,20.7,1.9,0,,,0.7,-0.1,0.6,0.102,1.2,-0.1,1.1,0.2,1975
Howard Porter,SF,26,DET,3,92,19.3,0.577,,0.167,10,13,11.6,0,2.6,0.5,,,0.3,0.1,0.4,0.184,2.5,-1,1.4,0.1,1975
Kevin Porter,PG,24,WSB,17,625,15,0.537,,0.35,2.3,4.3,3.3,28.5,1.5,0,,,0.7,0.5,1.2,0.091,1.2,-1.3,-0.1,0.3,1975
Ed Ratleff,SF,24,HOU,8,291,12.8,0.465,,0.23,9.3,11.3,10.3,15.5,2.3,0.2,,,0.3,0,0.3,0.046,-0.1,0.3,0.2,0.2,1975
Clifford Ray,C,26,GSW,17,495,13.5,0.563,,0.768,11,23.3,17,9.8,1.3,2.4,,,0.5,1,1.5,0.145,1.6,0.6,2.2,0.5,1975
Tom Riker,C,24,NYK,1,8,12.4,0.5,,0,14.3,13,13.6,20.2,0,0,,,0,0,0,-0.043,-1.3,-1.2,-2.6,0,1975
Ron Riley,PF,24,HOU,8,152,16.4,0.571,,0.381,8.9,17.9,13.4,13.4,2.8,0.7,,,0.3,0.1,0.3,0.105,1.4,1.7,3.2,0.2,1975
,,,,,,,,,,,,,,,,,,,,,,,,,,1975
Mike Riordan,SF,29,WSB,17,378,9.2,0.422,,0.119,3.4,7.4,5.5,10.3,1.9,0.3,,,-0.3,0.4,0.1,0.012,-2.3,-0.3,-2.6,-0.1,1975
Truck Robinson,PF,23,WSB,17,130,10.5,0.363,,0.333,9.2,21.5,15.7,6.2,2.1,3.9,,,-0.3,0.3,0,0.003,-3,1.5,-1.6,0,1975
Curtis Rowe,PF,25,DET,3,115,16.8,0.532,,0.576,8,15.5,12.1,18.6,0.4,2.2,,,0.1,0.1,0.2,0.094,1.1,0.3,1.4,0.1,1975
Paul Ruffner,C,26,BUF,1,4,-1.2,0,,0,0,55.1,26.5,0,0,0,,,0,0,0,-0.161,-6.4,-3.3,-9.7,0,1975
Dale Schlueter,C,29,BUF,6,40,13.1,0.574,,0.3,12.8,22,17.2,3.5,1.1,0,,,0.1,0,0.1,0.119,0.6,-1,-0.4,0,1975
Paul Silas,PF,31,BOS,11,405,12.6,0.485,,0.272,11.1,23.9,17,12.1,1.4,0.3,,,0.5,0.3,0.7,0.085,0.6,0.7,1.4,0.3,1975
Tal Skinner,SF,22,SEA,9,211,10.5,0.525,,0.422,5.5,13,9.3,7.7,2,0.5,,,0.1,0.2,0.3,0.061,-2.2,0.3,-1.8,0,1975
Jerry Sloan*,SG,32,CHI,13,470,12.9,0.475,,0.221,5.2,16.1,10.6,9.2,2.1,0,,,0.2,0.8,1,0.102,-0.1,0.4,0.3,0.3,1975
Phil Smith,SG,22,GSW,16,235,12.9,0.424,,0.385,3,9.3,6.1,18.5,1.8,1.7,,,-0.2,0.3,0.1,0.03,-0.4,-1.1,-1.5,0,1975
Randy Smith,SG,26,BUF,7,286,17.7,0.533,,0.286,2.9,8.5,5.6,24.8,2.9,0.2,,,0.5,0.2,0.7,0.119,2.4,0.9,3.2,0.4,1975
Kevin Stacom,SG,23,BOS,4,7,-4,0,,0,0,0,0,15.6,0,0,,,0,0,0,-0.212,-6.6,-4.3,-10.9,0,1975
Nate Thurmond*,C,33,CHI,13,254,13.6,0.424,,0.974,9.7,26,17.8,17.4,1,4.7,,,-0.1,0.6,0.4,0.08,-0.9,3.1,2.2,0.3,1975
Dean Tolson,PF,23,SEA,4,22,3.6,0.225,,0.25,19.2,13.9,16.5,5.8,0,0,,,-0.1,0,-0.1,-0.163,-7.1,-5.6,-12.7,-0.1,1975
Rudy Tomjanovich*,PF,26,HOU,8,304,20.9,0.617,,0.375,8.1,15.7,11.9,11.4,0.2,0.7,,,1.3,-0.1,1.2,0.193,5.1,-1.3,3.9,0.5,1975
George Trapp,PF,26,DET,3,81,16.5,0.568,,0.212,7.1,20.8,14.5,7.9,0,0,,,0.2,0,0.2,0.128,0.5,-1.9,-1.5,0,1975
Wes Unseld*,C,28,WSB,17,734,15,0.58,,0.469,9.6,27.7,19.2,11.5,0.9,1.4,,,1.1,1.4,2.5,0.162,3.5,1.2,4.7,1.2,1975
Norm Van Lier,PG,27,CHI,13,547,13.6,0.489,,0.506,3.4,9.4,6.4,17.5,1.8,0.5,,,0.4,0.7,1.1,0.097,-0.3,0,-0.3,0.2,1975
