Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Yr
Mike Dunleavy,PG,28,SAS,11,174,11.3,0.431,0.462,0.2,1.8,5.5,3.8,31,2.3,0.3,16.5,18.5,0,0.1,0.2,0.049,-0.4,-0.4,-0.8,0.1,1983
T.R. Dunn,SG,27,DEN,8,300,8.1,0.46,0,0.195,8.5,17.2,12.7,7.4,1.8,0.5,23.9,7.6,0,0.2,0.2,0.032,-2.3,1,-1.3,0.1,1983
Keith Edmonson,SG,22,ATL,1,2,70.5,1,0,0,52.9,0,25.8,100,0,0,0,22.1,0,0,0,1.079,41.9,8.5,50.4,0,1983
Franklin Edwards,PG,23,PHI,12,101,14.6,0.507,0,0.531,2.3,7.5,5,22.9,2.4,0,13.2,18.8,0.2,0.1,0.3,0.139,1.6,0.3,1.9,0.1,1983
James Edwards,C,27,PHO,3,54,15.2,0.489,0,0.231,10.9,24.2,17.2,10.3,0.9,1,14.9,24.5,0,0,0.1,0.052,-1.7,-1.8,-3.5,0,1983
Len Elmore,C,30,NJN,2,15,18.3,0.425,0,0.4,36.8,32.4,34.7,9,3.3,0,14.5,18.7,0,0,0,0.107,-0.8,-1.4,-2.1,0,1983
Alex English*,SF,29,DEN,7,270,18.4,0.522,0.013,0.353,7,9,8,21.9,0.6,1.3,10.8,27.9,0.4,0.1,0.5,0.085,2.7,-0.7,2,0.3,1983
Julius Erving*,SF,32,PHI,13,493,16,0.496,0.005,0.322,7.4,14.8,11.2,13.3,1.5,3.2,13.9,23.6,0.3,0.8,1.2,0.113,2.6,0.3,2.9,0.6,1983
Mike Evans,SG,27,DEN,8,183,11.4,0.528,0.135,0.23,1,9.4,5.1,27.3,1.2,0,21.3,21.9,-0.1,0,-0.1,-0.016,-2.1,-1.1,-3.3,-0.1,1983
Phil Ford,PG,26,MIL,2,5,42.1,0.647,0,3,0,0,0,23.8,0,0,0,39,0.1,0,0.1,0.728,14.4,1.7,16.1,0,1983
George Gervin*,SG,30,SAS,11,437,16.2,0.581,0.01,0.332,5.1,11.6,8.5,10.7,1.2,0.5,16.2,24.8,0.6,0.3,1,0.105,0.9,-1.2,-0.3,0.2,1983
Artis Gilmore*,C,33,SAS,11,401,17.9,0.604,0,0.348,9.8,25.1,17.8,5.3,1,4.4,15.1,17,0.7,0.6,1.3,0.152,1.2,1.1,2.3,0.4,1983
,,,,,,,,,,,,,,,,,,,,,,,,,,1983
Mike Glenn,SG,27,ATL,3,67,9.7,0.589,0,0.182,0,7.5,3.9,7.8,1.5,0,17.4,18.9,0,0.1,0.1,0.068,-3,0.7,-2.3,0,1983
Mike Gminski,C,23,NJN,2,29,26,0.697,0,0.444,15.2,21,17.9,5.2,0,8.2,8.5,16.6,0.1,0,0.1,0.226,5.2,2.1,7.3,0.1,1983
Glen Gondrezick,PF,27,DEN,6,66,9.1,0.377,0,0.105,17.3,12.2,14.8,7.1,0,0.7,4.8,12.2,0,0,0,0.034,-1.4,-2.3,-3.7,0,1983
Ernie Grunfeld,SF,27,NYK,6,118,12.5,0.567,0,0.559,2,5.9,4,12.1,2.9,1,17.5,18.6,0.1,0.1,0.2,0.093,0.2,1.9,2,0.1,1983
Bill Hanzlik,SF,25,DEN,8,157,9.5,0.47,0.04,0.34,1.8,14.2,7.8,16.1,1.7,1.6,16.1,16.9,-0.1,0.1,0,0.01,-4.4,1.4,-3.1,0,1983
Steve Hawes,PF,32,SEA,2,35,6,0.53,0,0.3,2.4,15.4,8.1,8.4,0,0,20.9,16.4,0,0,0,-0.014,-7.7,-0.5,-8.2,-0.1,1983
Gerald Henderson,PG,27,BOS,7,187,11.1,0.431,0.035,0.082,4.6,3.5,4,26.6,2.9,0.3,13.7,22.9,-0.2,0.2,0.1,0.023,-1.1,0.7,-0.4,0.1,1983
Johnny High,SG,25,PHO,3,45,13.6,0.421,0.091,0.182,15.2,7.3,11.5,16.5,3.1,1.2,7.8,11.3,0.1,0,0.1,0.102,-0.6,1.5,0.9,0,1983
Marc Iavaroni,PF,26,PHI,13,283,10.4,0.559,0,0.346,8.9,13.4,11.2,8.8,1.4,1.4,17.8,10.7,0.3,0.4,0.7,0.115,0.5,0.7,1.2,0.2,1983
Dan Issel*,C,34,DEN,8,227,22.4,0.548,0.007,0.213,5.4,20,12.5,16.9,1.7,1.1,6.3,27.1,0.5,0.2,0.7,0.144,3.8,0.9,4.7,0.4,1983
Clay Johnson,SG,26,LAL,7,20,13.8,0.571,0.143,0,11.2,10.8,11,6.9,2.4,0,12.5,16.3,0,0,0,0.102,0.1,-0.3,-0.1,0,1983
Clemon Johnson,C,26,PHI,12,202,8.4,0.493,0,0.082,11.9,11.8,11.9,4.7,1,1.4,19.1,12.9,0,0.3,0.3,0.06,-1.1,-1.1,-2.2,0,1983
Dennis Johnson*,PG,28,PHO,3,108,17.9,0.507,0.021,0.25,5.4,17.1,11,22,2.2,1,13.1,22.3,0.1,0.1,0.2,0.098,0.7,0.5,1.2,0.1,1983
George Johnson,C,34,ATL,1,2,0,,,,0,0,0,0,0,0,,0,0,0,0,0.027,-3.1,-1.9,-5,0,1983
Magic Johnson*,SG,23,LAL,15,643,20.6,0.555,0.053,0.393,8.9,12.9,11,38.6,2.5,1,20.9,19.4,1.5,0.6,2.1,0.156,5.6,1.3,6.9,1.4,1983
Marques Johnson,SF,26,MIL,9,382,18,0.511,0.006,0.246,7.9,13.3,10.5,16.1,1.1,1.1,9.8,23.6,0.7,0.4,1.1,0.144,5.4,-1.1,4.4,0.6,1983
Reggie Johnson,SF,25,PHI,5,32,3,0.615,0,0.5,0,0,0,11.7,1.5,0,38.1,10.3,0,0,0,0.01,-3.3,0.1,-3.2,0,1983
Bobby Jones*,PF,31,PHI,12,324,15.9,0.593,0.013,0.256,6.7,13.1,10,14.4,2.3,3.2,17.2,13.5,0.5,0.6,1.1,0.164,3.7,2.5,6.3,0.7,1983
Dwight Jones,PF,30,LAL,7,59,-0.9,0.33,0,0.313,7.6,14.7,11.2,0,0.8,0,21.6,16,-0.2,0,-0.2,-0.123,-8.9,-3.9,-12.7,-0.2,1983
Edgar Jones,PF,26,SAS,11,193,11.7,0.49,0.032,0.532,12.6,14.9,13.8,9.9,1.4,3.7,19,18.6,0,0.2,0.3,0.064,-3.3,1,-2.3,0,1983
,,,,,,,,,,,,,,,,,,,,,,,,,,1983
Greg Kelser,SF,25,SEA,2,19,11.9,0.4,0,0,13.4,17,15,7.3,2.6,0,0,10.5,0,0,0,0.099,-3.2,0.5,-2.7,0,1983
Albert King,SF,23,NJN,2,68,14.2,0.517,0.053,0.158,6.5,7.1,6.8,7.2,1.4,0,9,26.8,0.1,0,0.1,0.063,-1.4,-1.8,-3.1,0,1983
Bernard King*,SF,26,NYK,6,184,24,0.627,0.031,0.361,5.1,10.1,7.6,13.5,0.5,0,8.2,28.4,0.8,0.1,0.8,0.222,7.9,-0.8,7.1,0.4,1983
Joel Kramer,C,27,PHO,2,6,-10.3,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,-0.301,-11.8,-7.8,-19.6,0,1983
Jeff Lamp,SF,23,POR,1,1,42.3,0.5,0,0,0,0,0,0,0,0,0,84.2,0,0,0,0.397,10.7,-6.5,4.2,0,1983
Mark Landsberger,PF,27,LAL,11,141,6.5,0.437,0.036,0.143,15.1,19.2,17.2,2.5,0,0.8,16.8,10.3,0,0.1,0.1,0.035,-3.1,-2.8,-5.9,-0.1,1983
Bob Lanier*,C,34,MIL,9,250,18.9,0.589,0,0.393,7.3,21.3,14,14.5,1,3.3,16.7,21.1,0.4,0.4,0.8,0.16,4.2,1.2,5.4,0.5,1983
Fat Lever,PG,22,POR,7,134,15,0.475,0,0.119,2.4,9.3,5.8,31.9,2.6,0,8.3,15.1,0.2,0.1,0.3,0.112,0.9,1.8,2.7,0.2,1983
Alton Lister,PF,24,MIL,9,206,12,0.445,0.016,0.079,10.9,22.4,16.5,7.5,2.2,4.2,20.7,16.8,-0.2,0.4,0.3,0.061,-1.2,1.3,0.1,0.1,1983
Maurice Lucas,PF,30,PHO,2,57,18.2,0.571,0,0.19,8.6,13.4,10.9,19.8,2.5,0,14.9,18.5,0.1,0,0.1,0.119,1.7,0.7,2.5,0.1,1983
Rudy Macklin,SF,24,ATL,3,78,10.7,0.528,0,0.417,5.4,14.2,9.9,4.2,1.3,1.4,15,18.9,0,0.1,0.1,0.085,-1.8,0.8,-1,0,1983
Kyle Macy,PG,25,PHO,3,72,13.8,0.46,0.086,0.2,2.7,9.1,5.7,17.6,0.7,0,2.6,21.3,0.1,0,0.1,0.073,-1.3,-2,-3.3,0,1983
Moses Malone*,C,27,PHI,13,524,25.7,0.587,0.004,0.511,15.3,28.2,21.9,6.1,1.8,2.8,12.2,26,1.6,1.2,2.8,0.26,6.8,-0.4,6.4,1.1,1983
Wes Matthews,PG,23,ATL,3,38,9.1,0.446,0.111,0.556,0,0,0,43.1,0,1.5,21.1,16.5,0,0,0,0.022,0,-1.5,-1.6,0,1983
Cedric Maxwell,SF,27,BOS,7,246,14.7,0.627,0,0.691,10,12.3,11.1,13.5,0.8,0.9,20.9,15.5,0.4,0.3,0.7,0.141,2.5,0,2.5,0.3,1983
Bob McAdoo*,C,31,LAL,8,166,15.8,0.482,0.071,0.167,10.1,20.2,15.3,4.3,3.2,3.3,13.4,25.6,-0.1,0.3,0.2,0.058,-1.3,0,-1.3,0,1983
Hank McDowell,PF,23,POR,2,4,7.9,0,0,0,0,56.8,27.9,57.6,0,0,0,10.5,0,0,0,0.034,-5.7,9.9,4.1,0,1983
Mike McGee,SF,23,LAL,6,25,7.1,0.47,0.091,0.364,22.4,8.6,15.4,5.2,0,0,23.9,27.3,0,0,0,-0.062,-3.5,-6,-9.5,0,1983
Kevin McHale*,PF,25,BOS,7,177,15,0.558,0.016,0.29,9,16.4,12.7,4.6,0.8,2.3,12.5,18.9,0.2,0.3,0.4,0.114,1.3,-0.2,1.1,0.1,1983
Billy McKinney,PG,27,DEN,8,113,15.4,0.575,0,0.391,4.2,7.2,5.6,21.9,0.8,0,11.5,20.9,0.2,0,0.2,0.086,-0.2,-0.7,-0.9,0,1983
,,,,,,,,,,,,,,,,,,,,,,,,,,1983
Tom McMillen,C,30,ATL,3,39,6.4,0.388,0,0.167,8.1,10.3,9.3,7.9,1.3,2.8,18.9,18,-0.1,0.1,0,-0.026,-3.4,0.4,-3,0,1983
Mark McNamara,C,23,PHI,2,2,85.2,1,0,0,0,54.3,27.9,0,0,0,0,41.6,0.1,0,0.1,1.486,38.3,9.2,47.6,0,1983
Mike Mitchell,SF,27,SAS,11,422,15.5,0.536,0.01,0.165,8.3,16.4,12.5,3.6,0.7,2.3,10.4,21.6,0.5,0.4,0.9,0.099,0.7,-1,-0.3,0.2,1983
Steve Mix,SF,35,LAL,8,26,3.8,0.554,0,0.6,0,4.2,2.1,0,0,0,0,9.9,0,0,0,0.074,-5.3,-2.1,-7.5,0,1983
Paul Mokeski,C,26,MIL,4,12,17.4,0.5,0,0,8.9,9.6,9.3,12.4,4.2,0,0,14,0,0,0,0.197,5,1.7,6.6,0,1983
Sidney Moncrief*,SG,25,MIL,9,377,15.4,0.503,0.007,0.43,8,9.8,8.9,13,2.4,0.5,13.8,21.8,0.4,0.5,0.9,0.116,3.1,-0.3,2.8,0.5,1983
Johnny Moore,PG,24,SAS,11,414,25.6,0.581,0.086,0.178,2,9,5.7,49.7,3,0.4,11.6,22.1,1.8,0.4,2.2,0.256,7.4,2,9.4,1.2,1983
Larry Nance,PF,23,PHO,3,103,11.4,0.457,0,0.286,9.5,15.8,12.5,3.7,1.4,3.2,13.2,17.3,0,0.1,0.1,0.041,-3.5,-1.2,-4.7,-0.1,1983
Calvin Natt,SF,26,POR,7,274,16.7,0.536,0.02,0.471,8.8,17.4,13,5.9,1.4,0.2,6.8,20.3,0.5,0.2,0.7,0.129,2.9,-0.8,2.1,0.3,1983
Norm Nixon,PG,27,LAL,14,538,15,0.514,0.03,0.211,2.7,7,4.9,23.2,1.6,0.1,11.6,22.2,0.7,0.2,0.9,0.082,1,-1.5,-0.5,0.2,1983
Audie Norris,C,22,POR,7,53,13.9,0.54,0,0.154,6.2,19.3,12.6,12.8,1.9,2.1,12.6,12.6,0.1,0.1,0.1,0.107,1.3,2.5,3.8,0.1,1983
Mike O'Koren,SF,24,NJN,2,18,1.2,0.25,0,0,6.1,33.8,19.3,21.8,0,0,20,22.7,-0.1,0,-0.1,-0.203,-10.5,-2.7,-13.2,-0.1,1983
Louis Orr,SF,24,NYK,6,105,12.1,0.447,0,0.213,8.9,14.4,11.7,4.4,2.4,2.2,13.5,24.1,-0.1,0.1,0,0.016,-0.6,0.1,-0.5,0,1983
Robert Parish*,C,29,BOS,7,249,14.7,0.527,0,0.225,9,22.9,15.9,5.7,1,2.1,14.8,19.3,0.1,0.4,0.5,0.103,0.8,-0.1,0.7,0.2,1983
Billy Paultz,C,34,SAS,11,133,8.5,0.444,0,0.125,8.7,15.1,12.1,8.8,1.3,0.8,15.1,11.4,0,0.1,0.2,0.058,-2,0.1,-1.9,0,1983
Jim Paxson,SG,25,POR,7,260,19,0.624,0.034,0.284,1.7,4.8,3.2,11.4,1.7,0.2,10.3,23.6,0.6,0.1,0.8,0.142,4,0,4,0.4,1983
Roger Phegley,SG,26,SAS,8,38,16.6,0.64,0.235,0.235,2.8,17.7,10.6,3.3,0,0,5.1,19.8,0.1,0,0.1,0.176,1.8,-0.8,1,0,1983
Eddie Phillips,SF,21,NJN,2,12,22,0.451,0.333,0.667,27.6,20.3,24.1,40,0,0,11.4,29.8,0,0,0,0.064,4.8,-1.2,3.5,0,1983
Charles Pittman,PF,24,PHO,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.008,-5.3,-3.7,-9,0,1983
Paul Pressey,SG,24,MIL,9,150,9,0.412,0.021,0.426,10,14.6,12.2,13.1,3,2.3,24.4,20.7,-0.3,0.3,-0.1,-0.022,-2,1,-1,0,1983
,,,,,,,,,,,,,,,,,,,,,,,,,,1983
Ed Rains,SF,26,SAS,3,11,5.6,0.4,0.2,0,9.6,0,4.6,10.6,0,0,16.7,20.8,0,0,0,-0.079,-1.9,-4.9,-6.8,0,1983
Kurt Rambis,PF,24,LAL,15,377,12.2,0.599,0,0.443,8,18.1,13.1,6.2,1.6,2.3,19.6,12.7,0.3,0.4,0.7,0.094,-0.7,0.6,-0.1,0.2,1983
James Ray,PF,25,DEN,3,18,-2.3,0.193,0,0.667,5.3,11.2,8.2,0,0,2.7,0,16.7,-0.1,0,-0.1,-0.193,-10.2,-3.8,-14,-0.1,1983
Clint Richardson,SG,26,PHI,13,319,9.6,0.486,0,0.205,5,8.5,6.8,9.6,2.3,0.5,13.4,13.6,0.2,0.4,0.6,0.092,-0.5,0.8,0.3,0.2,1983
Micheal Ray Richardson,PG,27,NJN,2,58,10.2,0.409,0.048,0.238,3.8,12.6,8,11.7,4.2,0,14.7,19.2,-0.1,0,0,-0.026,-4.4,1.7,-2.7,0,1983
Rick Robey,C,27,BOS,5,29,-1,0.174,0.25,1,11,18.6,14.8,4.3,0,0,25.8,11.2,-0.1,0,-0.1,-0.101,-7.4,-2.8,-10.1,-0.1,1983
Truck Robinson,PF,31,NYK,6,205,18,0.551,0,0.384,12,25.5,18.8,10,2.4,0.6,14.1,20.7,0.3,0.3,0.6,0.138,3,0.8,3.8,0.3,1983
Dave Robisch,C,33,DEN,3,22,2.9,0.127,0,0.286,12.9,27.6,20,5,0,2.2,0,13.9,-0.1,0,-0.1,-0.131,-6.2,-2.7,-8.9,0,1983
Tree Rollins,C,27,ATL,3,118,10.3,0.468,0,0.333,9,17.1,13.1,4,0.4,4.7,16.2,13.8,-0.1,0.2,0.2,0.063,-1.7,1.2,-0.5,0,1983
Dan Roundfield,PF,29,ATL,3,124,15.4,0.483,0.02,0.22,5.1,29.2,17.5,14.5,1.6,1.8,16.7,23.4,-0.2,0.3,0.2,0.063,1.4,1.7,3.1,0.2,1983
Mike Sanders,SF,22,SAS,6,25,21.1,0.538,0,0,8.5,26.8,18.1,21.2,0,0,0,19.8,0.1,0,0.1,0.212,4.4,0.5,4.8,0,1983
Danny Schayes,C,23,DEN,8,163,9.8,0.575,0,0.349,6.4,18,12,10.4,0.5,1.5,25.5,15.8,0,0.1,0.1,0.023,-4,0.4,-3.5,-0.1,1983
Alvin Scott,SF,27,PHO,3,62,10.9,0.504,0,0.154,6.3,14,10,9.8,1.5,4.5,22.4,11.3,0,0.1,0.1,0.05,-2.3,1.3,-1,0,1983
Lonnie Shelton,PF,27,SEA,2,53,5.4,0.198,0.13,0.217,20.8,16.3,18.8,12.6,0.9,0,7.4,20.5,-0.2,0,-0.2,-0.137,-4.9,-3.7,-8.6,-0.1,1983
Ed Sherod,PG,23,NYK,4,15,10.4,0.25,0,0,0,7.7,3.9,26.3,9.9,0,20,14.2,0,0,0,-0.002,-3.5,9.2,5.6,0,1983
Jack Sikma*,C,27,SEA,2,75,15.5,0.413,0.032,0.387,6.8,28.8,16.5,21.7,1.3,1.6,12.1,22,0,0.1,0.1,0.032,-0.3,1.8,1.5,0.1,1983
Phil Smith,SG,30,SEA,2,19,5.6,0.5,0,0,0,17,7.5,7.9,0,0,25,16.8,0,0,0,-0.08,-7.4,-1.5,-8.9,0,1983
Randy Smith,SG,34,ATL,2,15,19.4,0.444,0,0.8,0,6.7,3.4,39,3.3,0,0,19.9,0,0,0.1,0.196,4.5,4.2,8.8,0,1983
Robert Smith,PG,27,SAS,6,19,24.1,0.506,0.111,0.222,16.7,10.1,13.2,38.3,2.3,0,9.2,21.8,0.1,0,0.1,0.24,6.5,1.6,8.1,0,1983
Rory Sparrow,PG,24,NYK,6,202,13.4,0.486,0.07,0.296,1.7,5.7,3.8,30.7,1.7,0,13.9,19.7,0.2,0.1,0.3,0.07,2,-0.3,1.8,0.2,1983
,,,,,,,,,,,,,,,,,,,,,,,,,,1983
David Thompson*,SG,28,SEA,2,65,5.8,0.408,0,0.4,0,0,0,15.7,0.8,0.9,12,20.6,-0.1,0,-0.1,-0.059,-4.8,-1.4,-6.2,-0.1,1983
Mychal Thompson,C,28,POR,7,284,12.5,0.516,0,0.447,6.2,16,11,18.9,1,1.6,21.6,19.2,0,0.2,0.2,0.034,0.2,1,1.2,0.2,1983
Andrew Toney,SG,25,PHI,12,357,15.5,0.525,0.027,0.373,3.5,5.2,4.4,24.9,1.5,0.2,17.3,30.4,0.3,0.4,0.6,0.083,2,-2.2,-0.2,0.2,1983
Linton Townes,SF,23,POR,6,60,12,0.549,0.111,0.259,3.6,1.9,2.8,12.8,0,0,9.1,23.2,0.1,0,0.1,0.078,0,-2,-2,0,1983
Trent Tucker,SG,23,NYK,6,85,12,0.67,0.133,0.667,2.8,9.6,6.2,8.2,1.2,0,9.3,10.7,0.2,0,0.2,0.135,2.1,0.8,2.9,0.1,1983
Darnell Valentine,PG,23,POR,7,205,15.8,0.476,0.025,0.263,2.7,5.5,4.1,42.4,2.4,0.8,17.6,22.2,0.1,0.1,0.3,0.062,2.5,0.1,2.6,0.2,1983
Kiki Vandeweghe,PF,24,DEN,8,317,20.1,0.588,0.025,0.313,1.8,14.7,8,14.8,0.6,1.1,6.2,23.7,0.8,0.1,0.9,0.143,3.6,-0.2,3.4,0.4,1983
Danny Vranes,SF,24,SEA,2,56,8.5,0.353,0,0,13.7,19.3,16.1,2.5,0,1.1,5.6,12.9,0,0,0,0.012,-3.8,-2.1,-6,-0.1,1983
Foots Walker,PG,31,NJN,2,36,10.5,0.478,0,0.5,0,0,0,37.3,0,0,21.5,10.6,0.1,0,0,0.024,0.2,-2.4,-2.2,0,1983
Marvin Webster,C,30,NYK,6,115,10.1,0.506,0,1.222,13.2,15.1,14.2,3.4,0,3.5,12.6,11.7,0.1,0.1,0.2,0.093,-0.3,-0.1,-0.4,0,1983
Scott Wedman,SF,30,BOS,6,66,10.8,0.583,0.083,0.083,4.8,17.9,11.4,0,0.8,0,13.9,18.3,0,0.1,0.1,0.076,-2.4,-0.4,-2.8,0,1983
Paul Westphal*,SG,32,NYK,6,156,13,0.511,0.16,0.26,0,6,3,31.8,0.6,0.7,13.9,17.7,0.2,0,0.3,0.077,2.7,-1.1,1.5,0.1,1983
Rory White,SF,23,PHO,3,40,10.3,0.508,0.071,0.286,2.5,24.5,12.9,0,0,0,6,16.5,0,0,0,0.048,-3.9,-2.5,-6.4,0,1983
Jamaal Wilkes*,SF,29,LAL,15,589,15.2,0.511,0.007,0.161,8,8.8,8.4,12.4,1.6,1,10.1,22.5,0.6,0.3,1,0.08,1.5,-1.3,0.2,0.3,1983
Dominique Wilkins*,SF,23,ATL,3,109,8.5,0.488,0.024,0.333,7.8,6.5,7.1,1.5,0.9,0.5,17.2,23.6,-0.1,0.1,0,-0.003,-1.5,-2.1,-3.6,0,1983
Buck Williams,PF,22,NJN,2,85,17.1,0.617,0,0.909,11.7,20,15.6,6.3,1.2,1.4,14,17.2,0.2,0,0.3,0.146,0.1,-0.4,-0.3,0,1983
Gus Williams,PG,29,SEA,2,81,27.1,0.606,0.043,0.319,4.2,4,4.1,19.7,3.1,0,10.1,29.4,0.3,0,0.4,0.223,7.1,2.8,9.9,0.2,1983
Rob Williams,PG,21,DEN,7,134,11.3,0.499,0.056,0.13,1.4,8.3,4.7,35.5,2.6,0.4,25,22,-0.1,0.1,-0.1,-0.02,-3.7,0.1,-3.6,-0.1,1983
Sly Williams,PF,25,NYK,5,82,10.1,0.425,0.024,0.073,14.3,15.6,14.9,11.6,1.8,0.7,22.1,28.2,-0.2,0.1,-0.2,-0.089,-0.7,-2.3,-3,0,1983
Brian Winters,SG,30,MIL,9,240,11.4,0.486,0.131,0.202,3.1,7.2,5.1,19.3,1.3,1,15.7,19,0.1,0.2,0.3,0.07,1.3,-0.9,0.4,0.1,1983
Kareem Abdul-Jabbar*,C,36,LAL,21,767,24,0.592,0,0.323,8.8,16.1,12.7,14.6,1.4,3.2,9.6,25.3,2.3,1,3.3,0.206,5.3,1,6.3,1.6,1984
Alvan Adams,C,29,PHO,17,312,15,0.475,0,0.421,10.2,21.4,16,18.6,2.7,2.1,18.5,24.7,-0.2,0.5,0.3,0.044,-1.4,1.5,0.1,0.2,1984
Mark Aguirre,SF,24,DAL,10,350,19.2,0.526,0.027,0.31,6.2,19,12.1,16.4,0.7,0.8,11.4,28.8,0.4,0.2,0.6,0.077,1.4,-0.2,1.2,0.3,1984
Danny Ainge,SG,24,BOS,19,253,10.6,0.482,0.1,0.111,1.8,5.5,3.6,21.9,1.7,0.5,12.1,17.4,0.1,0.2,0.3,0.063,-0.7,-0.1,-0.8,0.1,1984
J.J. Anderson,SF,23,UTA,5,13,33.7,0.688,0.125,0,26.4,8.3,17.1,0,0,4.3,0,25.4,0.1,0,0.1,0.301,12.5,0,12.5,0,1984
Richard Anderson,PF,23,DEN,4,37,12.7,0.454,0.067,0.4,3,25.4,13.9,16.1,0,1.5,5.4,19.8,0,0,0,0.043,-2.7,0,-2.8,0,1984
Thurl Bailey,PF,22,UTA,11,340,10.5,0.551,0.021,0.216,5,14.6,10,4.2,0.3,1.8,13.1,14.9,0.2,0.2,0.4,0.055,-2.2,-0.6,-2.8,-0.1,1984
Greg Ballard,SF,29,WSB,4,168,14.9,0.51,0.017,0.22,5.6,12.9,9.3,13.3,2.3,1.1,11,20.7,0.1,0.2,0.3,0.094,2.1,0.7,2.8,0.2,1984
Kent Benson,C,29,DET,5,129,12.9,0.459,0,0.27,7.4,18.6,12.8,7.4,1.8,3.1,6.8,13.8,0.1,0.2,0.3,0.097,0.4,1.8,2.2,0.1,1984
Larry Bird*,PF,27,BOS,23,961,26.3,0.607,0.039,0.435,7.2,23.1,15,23.2,2.8,1.7,14.3,25.9,3,1.7,4.7,0.236,8,2.3,10.3,3,1984
Otis Birdsong,SG,28,NJN,11,387,10.1,0.435,0.006,0.281,1.9,6,3.8,17.7,2.5,0.2,10.3,22.5,-0.3,0.6,0.3,0.04,-0.8,-0.2,-1,0.1,1984
Rolando Blackman,SG,24,DAL,10,397,20.4,0.589,0,0.36,3.9,7.9,5.8,17.5,0.8,0.6,10.6,24.4,1,0,1.1,0.131,4,-0.3,3.7,0.6,1984
Tom Boswell,PF,30,UTA,5,55,1.1,0.645,0,1.25,4.2,7.9,6.1,4.6,0,1,39.2,7.7,0,0,0,-0.023,-6.9,-0.4,-7.3,-0.1,1984
Randy Breuer,C,23,MIL,12,66,11.5,0.443,0,0.192,11.2,17.6,14.6,9.8,0,5.4,6.6,19.7,0,0.1,0.1,0.094,-3.1,0.6,-2.5,0,1984
Junior Bridgeman,SF,30,MIL,16,499,13.7,0.519,0.047,0.337,3,11,7.3,14.4,0.6,0.6,9,21,0.6,0.6,1.1,0.107,1.4,-1.2,0.2,0.3,1984
Fred Brown,SG,35,SEA,5,88,17.5,0.473,0.064,0.234,2.6,5.9,4.3,18.2,2.4,0,5.5,28.3,0,0.1,0.1,0.076,0.8,-0.1,0.7,0.1,1984
Rickey Brown,C,25,ATL,5,83,9.1,0.571,0,0.571,6.7,22.5,13.9,4.1,0,0.8,16,16.3,0.1,0.1,0.1,0.067,-4,-0.8,-4.9,-0.1,1984
Quinn Buckner,PG,29,BOS,23,268,6.8,0.429,0.013,0.278,5,10,7.5,14.3,2.4,0,16.9,16.3,-0.2,0.3,0.1,0.012,-5,0.6,-4.3,-0.2,1984
Don Buse,PG,33,KCK,3,50,14.6,0.563,0.375,0.375,0,7.8,3.3,31.7,1,1.2,13.9,17.4,0.1,0,0.1,0.1,2.1,0.6,2.7,0.1,1984
Kenny Carr,PF,28,POR,5,180,12,0.549,0,0.322,6.4,18.4,11.6,5,0.5,0.7,12.9,18,0.1,0,0.2,0.044,-2.2,-1,-3.2,-0.1,1984
,,,,,,,,,,,,,,,,,,,,,,,,,,1984
M.L. Carr,SF,33,BOS,16,82,14.6,0.516,0.188,0.344,6.8,4.3,5.6,7.1,4.2,0,7.5,19.9,0.1,0.1,0.2,0.145,0.7,1.5,2.2,0.1,1984
Howard Carter,SG,22,DEN,5,60,4.4,0.341,0.227,0,1.8,7.8,4.8,9.4,3,1,18.5,17.7,-0.2,0,-0.2,-0.127,-6,-0.4,-6.4,-0.1,1984
Bill Cartwright,C,26,NYK,12,398,17.5,0.648,0,0.635,7.7,20.3,14,1.9,0.2,2,13.9,19.5,1,0.3,1.3,0.154,1.5,-0.7,0.8,0.3,1984
Harvey Catchings,PF,32,MIL,5,25,0.1,0.521,0,1,9.9,12.6,11.4,5.3,0,0,41,8.4,0,0,0,0.003,-6.8,-1.2,-8,0,1984
Tom Chambers,PF,24,SEA,5,191,10.8,0.508,0.017,0.305,2.4,15.8,9.4,5.9,1.4,0.9,11.9,18.1,0,0.3,0.2,0.062,-3.3,0.1,-3.3,-0.1,1984
Maurice Cheeks*,PG,27,PHI,5,171,16.4,0.564,0.015,0.224,1.4,6.8,4.2,18.2,3.6,0,12,20.3,0.2,0.3,0.5,0.137,0.3,1.8,2.2,0.2,1984
Carlos Clark,SG,23,BOS,8,20,10.9,0.414,0,0.2,5.6,0,2.9,7.7,2.4,5.9,8.4,24.3,0,0,0,0.006,-1.1,1.2,0.2,0,1984
Darwin Cook,PG,25,NJN,11,185,11,0.438,0.159,0.293,4.5,6.7,5.5,27,3.9,0,18.5,25,-0.3,0.4,0.1,0.023,-0.6,0.6,-0.1,0.1,1984
Michael Cooper,SG,27,LAL,21,723,13.7,0.545,0.188,0.325,3.3,9,6.4,19.3,1.6,1.5,11.7,14.2,1.2,0.7,1.9,0.126,1.4,1,2.4,0.8,1984
